rel_tif,label_cw,accepted_cw,link
1967/01/IMG_0043_2R.tif,90,90,0010_1.approved_needs_rotation_90_cw.tif
1967/07/IMG_0040_1L.tif,90,90,0020_1.approved_needs_rotation_90_cw.tif
1967/12/IMG_0130_1L.tif,90,90,0030_1.approved_needs_rotation_90_cw.tif
1968/01/IMG_0029_1L.tif,90,90,0040_1.approved_needs_rotation_90_cw.tif
1968/01/IMG_0031_2R.tif,90,90,0050_1.approved_needs_rotation_90_cw.tif
1968/04/IMG_0022_1L.tif,90,90,0060_1.approved_needs_rotation_90_cw.tif
1968/04/IMG_0022_2R.tif,90,90,0070_1.approved_needs_rotation_90_cw.tif
1968/04/IMG_0023_1L.tif,90,90,0080_1.approved_needs_rotation_90_cw.tif
1968/04/IMG_0023_2R.tif,90,90,0090_1.approved_needs_rotation_90_cw.tif
1968/05/IMG_0079_2R.tif,90,90,0100_1.approved_needs_rotation_90_cw.tif
1968/06/IMG_0124_1_1L.tif,90,90,0110_1.approved_needs_rotation_90_cw.tif
1969/01/IMG_0011_2R.tif,90,90,0120_1.approved_needs_rotation_90_cw.tif
1969/04/IMG_0025_1L.tif,90,90,0130_1.approved_needs_rotation_90_cw.tif
1969/06/IMG_0137_1L.tif,90,90,0140_1.approved_needs_rotation_90_cw.tif
1970/03/IMG_0143_2R.tif,90,90,0150_1.approved_needs_rotation_90_cw.tif
1970/06/IMG_0135_1L.tif,90,90,0160_1.approved_needs_rotation_90_cw.tif
1971/08/IMG_0067_1L.tif,90,90,0170_1.approved_needs_rotation_90_cw.tif
1971/09/IMG_0142_1L.tif,90,90,0180_1.approved_needs_rotation_90_cw.tif
1971/09/IMG_0149_2R.tif,90,90,0190_1.approved_needs_rotation_90_cw.tif
1971/09/IMG_0150_1L.tif,90,90,0200_1.approved_needs_rotation_90_cw.tif
1971/09/IMG_0150_2R.tif,90,90,0210_1.approved_needs_rotation_90_cw.tif
1971/09/IMG_0151_1L.tif,90,90,0220_1.approved_needs_rotation_90_cw.tif
1972/06/IMG_0139_2R.tif,90,90,0230_1.approved_needs_rotation_90_cw.tif
1972/11/IMG_0070_1L.tif,90,90,0240_1.approved_needs_rotation_90_cw.tif
1973/01/IMG_0043_1L.tif,90,90,0250_1.approved_needs_rotation_90_cw.tif
1973/01/IMG_0045_1L.tif,90,90,0260_1.approved_needs_rotation_90_cw.tif
1973/03/IMG_0128_1L.tif,90,90,0270_1.approved_needs_rotation_90_cw.tif
1973/08/IMG_0062_1L.tif,90,90,0280_1.approved_needs_rotation_90_cw.tif
1973/08/IMG_0064_2R.tif,90,90,0290_1.approved_needs_rotation_90_cw.tif
1973/10/IMG_0183_1L.tif,90,90|180,0300_1.approved_needs_rotation_90_cw.tif
1973/10/IMG_0183_2R.tif,90,90,0310_1.approved_needs_rotation_90_cw.tif
1974/07/IMG_0016_1L.tif,90,90,0320_1.approved_needs_rotation_90_cw.tif
1974/07/IMG_0042_1L.tif,90,90,0330_1.approved_needs_rotation_90_cw.tif
1974/10/IMG_0017_2R.tif,90,90,0340_1.approved_needs_rotation_90_cw.tif
1974/11/IMG_0074_2R.tif,90,90,0350_1.approved_needs_rotation_90_cw.tif
1974/12/IMG_0119_1L.tif,90,90,0360_1.approved_needs_rotation_90_cw.tif
1974/12/IMG_0125_1L.tif,90,90,0370_1.approved_needs_rotation_90_cw.tif
1975/06/IMG_0122_2R.tif,90,90,0380_1.approved_needs_rotation_90_cw.tif
1976/07/IMG_0012_2R.tif,90,90|180,0390_1.approved_needs_rotation_90_cw.tif
1976/08/IMG_0067_1L.tif,90,90,0400_1.approved_needs_rotation_90_cw.tif
1976/11/0380_2R.tif,90,90,0410_1.approved_needs_rotation_90_cw.tif
1976/11/0390_1L.tif,90,90,0420_1.approved_needs_rotation_90_cw.tif
1966/01/IMG_0053_1L.tif,0,0,1966_01_IMG_0053_1L_p097_cw90.approved_no_rotation_needed.tif
1966/04/IMG_0052_1L.tif,0,0,1966_04_IMG_0052_1L_p097_cw90.approved_no_rotation_needed.tif
1967/10/IMG_0041.tif,0,0,1967_10_IMG_0041_p074_cw90.approved_no_rotation_needed.tif
1968/02/IMG_0103_1L.tif,0,0,1968_02_IMG_0103_1L_p095_cw90.approved_no_rotation_needed.tif
1968/10/IMG_0051_2R.tif,0,0,1968_10_IMG_0051_2R_p096_cw90.approved_no_rotation_needed.tif
1969/08/IMG_0102_2R.tif,0,0,1969_08_IMG_0102_2R_p098_cw90.approved_no_rotation_needed.tif
1969/11/IMG_0085_2R.tif,0,0,1969_11_IMG_0085_2R_p069_cw90.approved_no_rotation_needed.tif
1970/03/IMG_0152_2R.tif,0,0,1970_03_IMG_0152_2R_p098_cw90.approved_no_rotation_needed.tif
1970/04/IMG_0022_2R.tif,0,0,1970_04_IMG_0022_2R_p039_cw90.approved_no_rotation_needed.tif
1970/04/IMG_0052_2R.tif,0,0,1970_04_IMG_0052_2R_p099_cw90.approved_no_rotation_needed.tif
1970/05/IMG_0102_2R.tif,0,0,1970_05_IMG_0102_2R_p099_cw90.approved_no_rotation_needed.tif
1970/06/IMG_0105_1L.tif,0,0,1970_06_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1970/06/IMG_0134_1L.tif,0,0,1970_06_IMG_0134_1L_p062_cw90.approved_no_rotation_needed.tif
1970/11/IMG_0055_1L.tif,0,0,1970_11_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1970/12/IMG_0152_2R.tif,0,0,1970_12_IMG_0152_2R_p099_cw90.approved_no_rotation_needed.tif
1971/01/IMG_0051_2R.tif,0,0,1971_01_IMG_0051_2R_p099_cw90.approved_no_rotation_needed.tif
1971/02/IMG_0054_1L.tif,0,0,1971_02_IMG_0054_1L_p004_cw90.approved_no_rotation_needed.tif
1971/07/IMG_0005_1L.tif,0,0,1971_07_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1971/08/IMG_0068_2R.tif,0,0,1971_08_IMG_0068_2R_p033_cw90.approved_no_rotation_needed.tif
1971/09/IMG_0151_2R.tif,0,0,1971_09_IMG_0151_2R_p099_cw90.approved_no_rotation_needed.tif
1971/12/IMG_0105_1L.tif,0,0,1971_12_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1972/01/IMG_0005_1L.tif,0,0,1972_01_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1972/03/IMG_0104_2R.tif,0,0,1972_03_IMG_0104_2R_p003_cw90.approved_no_rotation_needed.tif
1972/04/IMG_0005_1L.tif,0,0,1972_04_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1972/06/IMG_0105_1L.tif,0,0,1972_06_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1972/07/IMG_0004_2R.tif,0,0,1972_07_IMG_0004_2R_p003_cw90.approved_no_rotation_needed.tif
1972/07/IMG_0040_2R.tif,0,0,1972_07_IMG_0040_2R_p075_cw90.approved_no_rotation_needed.tif
1972/08/IMG_0055_1L.tif,0,0,1972_08_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1972/12/IMG_0104_2R.tif,0,0,1972_12_IMG_0104_2R_p001_cw90.approved_no_rotation_needed.tif
1972/12/IMG_0106_1L.tif,0,0,1972_12_IMG_0106_1L_p004_cw90.approved_no_rotation_needed.tif
1973/02/IMG_0055_1L.tif,0,0,1973_02_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1973/05/IMG_0102_2R.tif,0,0,1973_05_IMG_0102_2R_p099_cw90.approved_no_rotation_needed.tif
1973/07/IMG_0016_1L.tif,0,0,1973_07_IMG_0016_1L_p026_cw90.approved_no_rotation_needed.tif
1973/08/IMG_0055_1L.tif,0,0,1973_08_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1973/08/IMG_0102_2R.tif,0,0,1973_08_IMG_0102_2R_p099_cw90.approved_no_rotation_needed.tif
1973/09/IMG_0105_1L.tif,0,0,1973_09_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1973/11/IMG_0210_1L.tif,0,0,1973_11_IMG_0210_1L_p004_cw90.approved_no_rotation_needed.tif
1973/12/IMG_0260_1L.tif,0,0,1973_12_IMG_0260_1L_p004_cw90.approved_no_rotation_needed.tif
1973/12/IMG_0299_1L.tif,0,0,1973_12_IMG_0299_1L_p082_cw90.approved_no_rotation_needed.tif
1973/12/IMG_0302_2R.tif,0,0,1973_12_IMG_0302_2R_p089_cw90.approved_no_rotation_needed.tif
1973/12/IMG_0303_1L.tif,0,0,1973_12_IMG_0303_1L_p090_cw90.approved_no_rotation_needed.tif
1973/12/IMG_0307_2R.tif,0,0,1973_12_IMG_0307_2R_p099_cw90.approved_no_rotation_needed.tif
1974/02/IMG_0055_1L.tif,0,0,1974_02_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1974/03/IMG_0105_1L.tif,0,0,1974_03_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1974/04/IMG_0005_1L.tif,0,0,1974_04_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1974/05/IMG_0055_1L.tif,0,0,1974_05_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1974/05/IMG_0077_2R.tif,0,0,1974_05_IMG_0077_2R_p049_cw90.approved_no_rotation_needed.tif
1974/06/IMG_0105_1L.tif,0,0,1974_06_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1974/07/IMG_0005_1L.tif,0,0,1974_07_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1974/09/IMG_0105_1L.tif,0,0,1974_09_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1974/09/IMG_0113_2R.tif,0,0,1974_09_IMG_0113_2R_p021_cw90.approved_no_rotation_needed.tif
1974/10/IMG_0005_1L.tif,0,0,1974_10_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1974/10/IMG_0050_1L.tif,0,0,1974_10_IMG_0050_1L_p096_cw90.approved_no_rotation_needed.tif
1974/11/IMG_0054_1L.tif,0,0,1974_11_IMG_0054_1L_p004_cw90.approved_no_rotation_needed.tif
1974/11/IMG_0077_1L.tif,0,0,1974_11_IMG_0077_1L_p050_cw90.approved_no_rotation_needed.tif
1974/12/IMG_0104_1L.tif,0,0,1974_12_IMG_0104_1L_p004_cw90.approved_no_rotation_needed.tif
1974/12/IMG_0131_1L.tif,0,0,1974_12_IMG_0131_1L_p058_cw90.approved_no_rotation_needed.tif
1974/12/IMG_0137_1L.tif,0,0,1974_12_IMG_0137_1L_p070_cw90.approved_no_rotation_needed.tif
1975/01/IMG_0005_1L.tif,0,0,1975_01_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1975/01/IMG_0052_1L.tif,0,0,1975_01_IMG_0052_1L_p100_cw90.approved_no_rotation_needed.tif
1975/02/IMG_0054_1L.tif,0,0,1975_02_IMG_0054_1L_p004_cw90.approved_no_rotation_needed.tif
1975/02/IMG_0101_2R.tif,0,0,1975_02_IMG_0101_2R_p099_cw90.approved_no_rotation_needed.tif
1975/02/IMG_0102_1L.tif,0,0,1975_02_IMG_0102_1L_p100_cw90.approved_no_rotation_needed.tif
1975/03/IMG_0104_1L.tif,0,0,1975_03_IMG_0104_1L_p004_cw90.approved_no_rotation_needed.tif
1975/04/IMG_0005_1L.tif,0,0,1975_04_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1975/05/IMG_0053_2R.tif,0,0,1975_05_IMG_0053_2R_p001_cw90.approved_no_rotation_needed.tif
1975/05/IMG_0055_1L.tif,0,0,1975_05_IMG_0055_1L_p004_cw90.approved_no_rotation_needed.tif
1975/06/IMG_0105_1L.tif,0,0,1975_06_IMG_0105_1L_p004_cw90.approved_no_rotation_needed.tif
1975/06/IMG_0137_2R.tif,0,0,1975_06_IMG_0137_2R_p069_cw90.approved_no_rotation_needed.tif
1975/07/IMG_0005_1L.tif,0,0,1975_07_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
1975/07/IMG_0054_1L.tif,0,0,1975_07_IMG_0054_1L_p100_cw90.approved_no_rotation_needed.tif
1975/08/IMG_0056_1L.tif,0,0,1975_08_IMG_0056_1L_p004_cw90.approved_no_rotation_needed.tif
1975/08/IMG_0074_2R.tif,0,0,1975_08_IMG_0074_2R_p041_cw90.approved_no_rotation_needed.tif
1975/10/IMG_0005_1L.tif,0,0,1975_10_IMG_0005_1L_p004_cw90.approved_no_rotation_needed.tif
