год,pdf,картинок,фактический DPI,медиана DPI,JFIF DPI,JFIF совпадает с фактическим
1931,1931/01.pdf,158,300,300.0,300x300,да
1931,1931/02-03.pdf,159,300,300.0,300x300,да
1931,1931/04.pdf,121,300,300.0,300x300,да
1931,1931/05-06.pdf,129,300,300.0,300x300,да
1932,1932/01.pdf,166,300,300.0,300x300,да
1932,1932/02.pdf,126,300,300.0,300x300,да
1932,1932/03.pdf,126,300,300.0,300x300,да
1932,1932/04.pdf,128,300,300.0,300x300,да
1932,1932/05.pdf,106,300,300.0,300x300,да
1932,1932/06-07.pdf,165,300,300.0,300x300,да
1933,1933/01-02.pdf,118,300,300.0,300x300,да
1933,1933/03.pdf,89,300,300.0,300x300,да
1933,1933/04.pdf,114,300,300.0,300x300,да
1933,1933/05-06.pdf,145,300,300.0,300x300,да
1933,1933/07-08.pdf,108,300,300.0,300x300,да
1934,1934/01.pdf,148,300,300.0,300x300,да
1934,1934/02.pdf,133,300,300.0,300x300,да
1934,1934/03.pdf,140,300,300.0,300x300,да
1934,1934/04.pdf,126,300,300.0,300x300,да
1934,1934/05-06.pdf,118,300,300.0,300x300,да
1934,1934/07.pdf,130,300,300.0,300x300,да
1934,1934/08-09.pdf,121,300,300.0,300x300,да
1934,1934/10.pdf,123,300,300.0,300x300,да
1934,1934/11.pdf,129,300,300.0,300x300,да
1934,1934/12.pdf,119,300,300.0,300x300,да
1935,1935/01.pdf,134,300,300.0,300x300,да
1935,1935/02.pdf,130,300,300.0,300x300,да
1935,1935/03.pdf,115,300,300.0,300x300,да
1935,1935/04.pdf,120,300,300.0,300x300,да
1935,1935/05.pdf,114,300,300.0,300x300,да
1935,1935/06.pdf,95,300,300.0,300x300,да
1935,1935/07.pdf,117,300,300.0,300x300,да
1935,1935/08.pdf,121,300,300.0,300x300,да
1935,1935/09.pdf,114,300,300.0,300x300,да
1935,1935/10.pdf,126,300,300.0,300x300,да
1935,1935/11-12.pdf,124,300,300.0,300x300,да
1936,1936/01.pdf,101,300,300.0,300x300,да
1936,1936/02.pdf,147,300,300.0,300x300,да
1936,1936/03.pdf,110,300,300.0,300x300,да
1936,1936/04.pdf,119,300,300.0,300x300,да
1936,1936/05.pdf,106,300,300.0,300x300,да
1936,1936/06.pdf,122,300,300.0,300x300,да
1936,1936/07.pdf,131,300,300.0,300x300,да
1936,1936/08.pdf,130,300,300.0,300x300,да
1936,1936/09-10.pdf,123,300,300.0,300x300,да
1936,1936/11.pdf,120,300,300.0,300x300,да
1936,1936/12.pdf,95,300,300.0,300x300,да
