2026-09-14 00:00:18,175 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-14 00:00:18,175 INFO research.external_ocr_models: deepseek-v41-flash (deepseek/deepseek-v4.1-flash): 97 полос, 4 потоков, strips=2, max_side=2200
2026-09-14 00:00:22,171 INFO research.external_ocr_models: 1/97 IMG_0104_2R.jpg: ok, 2941 tok → 143 tok, $0.000451686, 3 с
2026-09-14 00:00:23,994 INFO research.external_ocr_models: 2/97 IMG_0105_2R.jpg: ok, 2961 tok → 655 tok, $0.000761886, 5 с
2026-09-14 00:00:25,457 INFO research.external_ocr_models: 3/97 IMG_0106_1L.jpg: ok, 2961 tok → 973 tok, $0.000952686, 7 с
2026-09-14 00:00:26,189 INFO research.external_ocr_models: 4/97 IMG_0106_2R.jpg: ok, 2961 tok → 1004 tok, $0.000971286, 7 с
2026-09-14 00:00:29,424 INFO research.external_ocr_models: 5/97 IMG_0107_1L.jpg: ok, 2961 tok → 1016 tok, $0.000940854, 7 с
2026-09-14 00:00:31,044 INFO research.external_ocr_models: 6/97 IMG_0107_2R.jpg: ok, 2961 tok → 1027 tok, $0.000947454, 7 с
2026-09-14 00:00:33,236 INFO research.external_ocr_models: 7/97 IMG_0108_2R.jpg: ok, 2961 tok → 746 tok, $0.000778854, 7 с
2026-09-14 00:00:33,759 INFO research.external_ocr_models: 8/97 IMG_0108_1L.jpg: ok, 2961 tok → 917 tok, $0.000881454, 8 с
2026-09-14 00:00:35,620 INFO research.external_ocr_models: 9/97 IMG_0109_1L.jpg: ok, 2961 tok → 779 tok, $0.000798654, 6 с
2026-09-14 00:00:37,959 INFO research.external_ocr_models: 10/97 IMG_0109_2R.jpg: ok, 2961 tok → 938 tok, $0.000894054, 7 с
2026-09-14 00:00:40,506 INFO research.external_ocr_models: 11/97 IMG_0110_1L.jpg: ok, 2961 tok → 988 tok, $0.000924054, 7 с
2026-09-14 00:00:41,135 INFO research.external_ocr_models: 12/97 IMG_0110_2R.jpg: ok, 2961 tok → 1041 tok, $0.000955854, 7 с
2026-09-14 00:00:43,143 INFO research.external_ocr_models: 13/97 IMG_0111_1L.jpg: ok, 2961 tok → 994 tok, $0.000927654, 7 с
2026-09-14 00:00:45,341 INFO research.external_ocr_models: 14/97 IMG_0111_2R.jpg: ok, 2961 tok → 906 tok, $0.000874854, 7 с
2026-09-14 00:00:47,564 INFO research.external_ocr_models: 15/97 IMG_0112_2R.jpg: ok, 2961 tok → 873 tok, $0.000855054, 6 с
2026-09-14 00:00:48,201 INFO research.external_ocr_models: 16/97 IMG_0112_1L.jpg: ok, 2961 tok → 1098 tok, $0.000990054, 7 с
2026-09-14 00:00:49,888 INFO research.external_ocr_models: 17/97 IMG_0113_1L.jpg: ok, 2961 tok → 1025 tok, $0.000946254, 6 с
2026-09-14 00:00:52,641 INFO research.external_ocr_models: 18/97 IMG_0113_2R.jpg: ok, 2961 tok → 1041 tok, $0.000955854, 7 с
2026-09-14 00:00:54,778 INFO research.external_ocr_models: 19/97 IMG_0114_2R.jpg: ok, 2961 tok → 1148 tok, $0.001020054, 6 с
2026-09-14 00:00:55,770 INFO research.external_ocr_models: 20/97 IMG_0115_1L.jpg: ok, 2961 tok → 701 tok, $0.000751854, 6 с
2026-09-14 00:00:56,312 INFO research.external_ocr_models: 21/97 IMG_0114_1L.jpg: ok, 2961 tok → 1222 tok, $0.001064454, 8 с
2026-09-14 00:01:00,457 INFO research.external_ocr_models: 22/97 IMG_0115_2R.jpg: ok, 2961 tok → 1169 tok, $0.001032654, 7 с
2026-09-14 00:01:04,682 INFO research.external_ocr_models: 23/97 IMG_0117_1L.jpg: ok, 2961 tok → 1362 tok, $0.001148454, 8 с
2026-09-14 00:01:04,682 INFO research.external_ocr_models: 24/97 IMG_0116_2R.jpg: ok, 2961 tok → 1314 tok, $0.001119654, 9 с
2026-09-14 00:01:05,877 INFO research.external_ocr_models: 25/97 IMG_0116_1L.jpg: ok, 2961 tok → 1550 tok, $0.001261254, 11 с
2026-09-14 00:01:06,718 INFO research.external_ocr_models: 26/97 IMG_0117_2R.jpg: ok, 2961 tok → 918 tok, $0.000882054, 6 с
2026-09-14 00:01:11,507 INFO research.external_ocr_models: 27/97 IMG_0118_1L.jpg: ok, 2961 tok → 802 tok, $0.000812454, 6 с
2026-09-14 00:01:12,828 INFO research.external_ocr_models: 28/97 IMG_0119_1L.jpg: ok, 2961 tok → 902 tok, $0.000872454, 7 с
2026-09-14 00:01:13,075 INFO research.external_ocr_models: 29/97 IMG_0118_2R.jpg: ok, 2961 tok → 1024 tok, $0.000945654, 8 с
2026-09-14 00:01:13,653 INFO research.external_ocr_models: 30/97 IMG_0119_2R.jpg: ok, 2961 tok → 890 tok, $0.000865254, 7 с
2026-09-14 00:01:16,594 INFO research.external_ocr_models: 31/97 IMG_0120_1L.jpg: ok, 2961 tok → 498 tok, $0.000630054, 5 с
2026-09-14 00:01:19,057 INFO research.external_ocr_models: 32/97 IMG_0121_2R.jpg: ok, 2961 tok → 781 tok, $0.000799854, 5 с
2026-09-14 00:01:19,146 INFO research.external_ocr_models: 33/97 IMG_0121_1L.jpg: ok, 2961 tok → 898 tok, $0.000870054, 6 с
2026-09-14 00:01:19,270 INFO research.external_ocr_models: 34/97 IMG_0120_2R.jpg: ok, 2961 tok → 898 tok, $0.000870054, 6 с
2026-09-14 00:01:22,941 INFO research.external_ocr_models: 35/97 IMG_0122_1L.jpg: ok, 2961 tok → 821 tok, $0.000823854, 6 с
