page,model,provider,json_mode_used,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,latency_s,attempts,page_number,is_toc,content_chars,parse_error,error
IMG_0104_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2941,143,0,0.000451686,3.38,1,,False,93,,
IMG_0105_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,655,0,0.000761886,5.29,1,1,False,1890,,
IMG_0106_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,973,0,0.000952686,6.75,1,2,False,3397,,
IMG_0106_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1004,0,0.000971286,7.48,1,3,False,3483,,
IMG_0107_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1016,0,0.000940854,6.95,1,4,False,3499,,
IMG_0107_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1027,0,0.000947454,6.7,1,5,False,3557,,
IMG_0108_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,917,0,0.000881454,7.95,1,6,False,3304,,
IMG_0108_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,746,0,0.000778854,6.7,1,,False,2579,,
IMG_0109_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,779,0,0.000798654,5.88,1,8,False,2690,,
IMG_0109_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,938,0,0.000894054,6.54,1,9,False,3533,,
IMG_0110_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,988,0,0.000924054,6.9,1,10,False,3469,,
IMG_0110_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1041,0,0.000955854,7.0,1,11,False,3398,,
IMG_0111_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,994,0,0.000927654,7.19,1,12,False,3506,,
IMG_0111_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,906,0,0.000874854,7.02,1,13,False,3423,,
IMG_0112_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1098,0,0.000990054,7.31,1,,False,3509,,
IMG_0112_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,873,0,0.000855054,6.06,1,15,False,2448,,
IMG_0113_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1025,0,0.000946254,6.42,1,16,False,3495,,
IMG_0113_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1041,0,0.000955854,6.93,1,17,False,3564,,
IMG_0114_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1222,0,0.001064454,8.39,1,18,False,3319,,
IMG_0114_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1148,0,0.001020054,6.22,1,19,False,3049,,
IMG_0115_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,701,0,0.000751854,5.56,1,,False,2527,,
IMG_0115_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1169,0,0.001032654,7.46,1,21,False,4358,,
IMG_0116_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1550,0,0.001261254,10.73,1,22,False,5381,,
IMG_0116_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1314,0,0.001119654,8.59,1,23,False,4940,,
IMG_0117_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1362,0,0.001148454,8.0,1,24,False,5439,,
IMG_0117_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,918,0,0.000882054,5.9,1,25,False,3196,,
IMG_0118_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,802,0,0.000812454,6.43,1,26,False,2764,,
IMG_0118_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1024,0,0.000945654,8.01,1,27,False,3692,,
IMG_0119_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,902,0,0.000872454,6.61,1,28,False,3551,,
IMG_0119_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,890,0,0.000865254,6.59,1,29,False,3422,,
IMG_0120_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,498,0,0.000630054,4.74,1,,False,1987,,
IMG_0120_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,898,0,0.000870054,6.09,1,31,False,2909,,
IMG_0121_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,898,0,0.000870054,5.73,1,32,False,2225,,
IMG_0121_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,781,0,0.000799854,5.05,1,33,False,1649,,
IMG_0122_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,821,0,0.000823854,6.0,1,34,False,2507,,
IMG_0122_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1341,0,0.001135854,7.36,1,35,False,3022,,
IMG_0123_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,693,0,0.000747054,5.82,1,36,False,1759,,
IMG_0123_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,638,0,0.000714054,5.12,1,37,False,2223,,
IMG_0124_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1114,0,0.000999654,7.49,1,38,False,3652,,
IMG_0124_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1033,0,0.000951054,6.58,1,39,False,3585,,
IMG_0125_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,904,0,0.000873654,6.02,1,40,False,3454,,
IMG_0125_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,964,0,0.000909654,6.59,1,41,False,3593,,
IMG_0126_1L.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,794,0,0.000807654,5.53,1,42,False,2381,,
IMG_0126_2R.jpg,deepseek-v41-flash,DeepSeek,json_object,stop,2961,1046,0,0.000958854,7.21,1,43,False,3587,,
