2026-09-13 23:52:33,842 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:52:33,842 INFO research.external_ocr_models: gemini-31-flash-lite (google/gemini-3.1-flash-lite): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:52:37,299 INFO research.external_ocr_models: 1/97 IMG_0104_2R.jpg: ok, 2259 tok → 174 tok, $0.00082575, 3 с
2026-09-13 23:52:38,927 INFO research.external_ocr_models: 2/97 IMG_0105_2R.jpg: ok, 2293 tok → 705 tok, $0.00163075, 5 с
2026-09-13 23:52:39,692 INFO research.external_ocr_models: 3/97 IMG_0106_1L.jpg: ok, 2293 tok → 938 tok, $0.00198025, 6 с
2026-09-13 23:52:39,873 INFO research.external_ocr_models: 4/97 IMG_0106_2R.jpg: ok, 2293 tok → 995 tok, $0.00206575, 6 с
2026-09-13 23:52:43,004 INFO research.external_ocr_models: 5/97 IMG_0107_1L.jpg: ok, 2293 tok → 996 tok, $0.00206725, 5 с
2026-09-13 23:52:43,944 INFO research.external_ocr_models: 6/97 IMG_0107_2R.jpg: ok, 2293 tok → 876 tok, $0.00188725, 5 с
2026-09-13 23:52:45,117 INFO research.external_ocr_models: 7/97 IMG_0108_2R.jpg: ok, 2293 tok → 760 tok, $0.00171325, 5 с
2026-09-13 23:52:45,363 INFO research.external_ocr_models: 8/97 IMG_0108_1L.jpg: ok, 2293 tok → 958 tok, $0.00201025, 5 с
2026-09-13 23:52:48,029 INFO research.external_ocr_models: 9/97 IMG_0109_1L.jpg: ok, 2293 tok → 807 tok, $0.00178375, 5 с
2026-09-13 23:52:49,215 INFO research.external_ocr_models: 10/97 IMG_0109_2R.jpg: ok, 2293 tok → 887 tok, $0.00190375, 5 с
2026-09-13 23:52:50,799 INFO research.external_ocr_models: 11/97 IMG_0110_2R.jpg: ok, 2293 tok → 1002 tok, $0.00207625, 5 с
2026-09-13 23:52:51,598 INFO research.external_ocr_models: 12/97 IMG_0110_1L.jpg: ok, 2293 tok → 934 tok, $0.00197425, 6 с
2026-09-13 23:52:53,900 INFO research.external_ocr_models: 13/97 IMG_0111_1L.jpg: ok, 2293 tok → 979 tok, $0.00204175, 6 с
2026-09-13 23:52:54,501 INFO research.external_ocr_models: 14/97 IMG_0111_2R.jpg: ok, 2293 tok → 793 tok, $0.00176275, 5 с
2026-09-13 23:52:56,368 INFO research.external_ocr_models: 15/97 IMG_0112_1L.jpg: ok, 2293 tok → 892 tok, $0.00191125, 5 с
2026-09-13 23:52:57,347 INFO research.external_ocr_models: 16/97 IMG_0112_2R.jpg: ok, 2293 tok → 1201 tok, $0.00237475, 5 с
2026-09-13 23:52:59,520 INFO research.external_ocr_models: 17/97 IMG_0113_1L.jpg: ok, 2293 tok → 990 tok, $0.00205825, 5 с
2026-09-13 23:53:00,260 INFO research.external_ocr_models: 18/97 IMG_0113_2R.jpg: ok, 2293 tok → 1064 tok, $0.00216925, 5 с
2026-09-13 23:53:02,297 INFO research.external_ocr_models: 19/97 IMG_0114_1L.jpg: ok, 2293 tok → 1249 tok, $0.00244675, 6 с
2026-09-13 23:53:03,647 INFO research.external_ocr_models: 20/97 IMG_0114_2R.jpg: ok, 2293 tok → 1450 tok, $0.00274825, 6 с
2026-09-13 23:53:04,626 INFO research.external_ocr_models: 21/97 IMG_0115_1L.jpg: ok, 2293 tok → 766 tok, $0.00172225, 5 с
2026-09-13 23:53:06,555 INFO research.external_ocr_models: 22/97 IMG_0115_2R.jpg: ok, 2293 tok → 1151 tok, $0.00229975, 6 с
2026-09-13 23:53:10,176 INFO research.external_ocr_models: 23/97 IMG_0116_2R.jpg: ok, 2293 tok → 1238 tok, $0.00243025, 6 с
2026-09-13 23:53:11,371 INFO research.external_ocr_models: 24/97 IMG_0117_1L.jpg: ok, 2293 tok → 1314 tok, $0.00254425, 6 с
2026-09-13 23:53:12,162 INFO research.external_ocr_models: 25/97 IMG_0117_2R.jpg: ok, 2293 tok → 937 tok, $0.00197875, 5 с
2026-09-13 23:53:14,866 INFO research.external_ocr_models: 26/97 IMG_0118_1L.jpg: ok, 2293 tok → 720 tok, $0.00165325, 4 с
2026-09-13 23:53:17,564 INFO research.external_ocr_models: 27/97 IMG_0119_1L.jpg: ok, 2293 tok → 935 tok, $0.00197575, 5 с
2026-09-13 23:53:17,632 INFO research.external_ocr_models: 28/97 IMG_0118_2R.jpg: ok, 2293 tok → 1083 tok, $0.00219775, 6 с
2026-09-13 23:53:20,011 INFO research.external_ocr_models: 29/97 IMG_0119_2R.jpg: ok, 2293 tok → 810 tok, $0.00178825, 5 с
2026-09-13 23:53:21,809 INFO research.external_ocr_models: 30/97 IMG_0120_1L.jpg: ok, 2293 tok → 454 tok, $0.00125425, 4 с
2026-09-13 23:53:22,607 INFO research.external_ocr_models: 31/97 IMG_0120_2R.jpg: ok, 2293 tok → 900 tok, $0.00192325, 5 с
2026-09-13 23:53:25,434 INFO research.external_ocr_models: 32/97 IMG_0121_1L.jpg: ok, 2293 tok → 970 tok, $0.00202825, 5 с
2026-09-13 23:53:27,139 INFO research.external_ocr_models: 33/97 IMG_0122_1L.jpg: ok, 2293 tok → 700 tok, $0.00162325, 4 с
2026-09-13 23:53:27,182 INFO research.external_ocr_models: 34/97 IMG_0121_2R.jpg: ok, 2293 tok → 867 tok, $0.00187375, 5 с
2026-09-13 23:53:31,528 INFO research.external_ocr_models: 35/97 IMG_0123_1L.jpg: ok, 2293 tok → 604 tok, $0.00147925, 4 с
2026-09-13 23:53:31,991 INFO research.external_ocr_models: 36/97 IMG_0123_2R.jpg: ok, 2293 tok → 660 tok, $0.00156325, 5 с
2026-09-13 23:53:32,913 INFO research.external_ocr_models: 37/97 IMG_0122_2R.jpg: ok, 2293 tok → 1960 tok, $0.00351325, 7 с
2026-09-13 23:53:37,208 INFO research.external_ocr_models: 38/97 IMG_0124_1L.jpg: ok, 2293 tok → 1130 tok, $0.00226825, 5 с
2026-09-13 23:53:37,638 INFO research.external_ocr_models: 39/97 IMG_0124_2R.jpg: ok, 2293 tok → 1036 tok, $0.00212725, 5 с
2026-09-13 23:53:38,190 INFO research.external_ocr_models: 40/97 IMG_0125_1L.jpg: ok, 2293 tok → 902 tok, $0.00192625, 5 с
2026-09-13 23:53:40,155 INFO research.external_ocr_models: 41/97 IMG_0116_1L.jpg: невалидный JSON: Unterminated string starting at: line 1 column 108 (char 107), 2293 tok → 15985 tok, $0.02455075, 38 с
2026-09-13 23:53:42,494 INFO research.external_ocr_models: 42/97 IMG_0126_1L.jpg: ok, 2293 tok → 719 tok, $0.00165175, 5 с
2026-09-13 23:53:43,653 INFO research.external_ocr_models: 43/97 IMG_0126_2R.jpg: ok, 2293 tok → 1046 tok, $0.00214225, 5 с
2026-09-13 23:53:45,130 INFO research.external_ocr_models: 44/97 IMG_0127_1L.jpg: ok, 2293 tok → 890 tok, $0.00190825, 5 с
2026-09-13 23:53:48,275 INFO research.external_ocr_models: 45/97 IMG_0127_2R.jpg: ok, 2293 tok → 990 tok, $0.00205825, 5 с
2026-09-13 23:53:48,591 INFO research.external_ocr_models: 46/97 IMG_0125_2R.jpg: ok, 2293 tok → 2985 tok, $0.00505075, 11 с
2026-09-13 23:53:49,435 INFO research.external_ocr_models: 47/97 IMG_0128_1L.jpg: ok, 2293 tok → 1112 tok, $0.00224125, 5 с
2026-09-13 23:53:50,825 INFO research.external_ocr_models: 48/97 IMG_0128_2R.jpg: ok, 2293 tok → 990 tok, $0.00205825, 5 с
2026-09-13 23:53:53,419 INFO research.external_ocr_models: 49/97 IMG_0129_1L.jpg: ok, 2293 tok → 848 tok, $0.00184525, 5 с
2026-09-13 23:53:54,057 INFO research.external_ocr_models: 50/97 IMG_0129_2R.jpg: ok, 2293 tok → 936 tok, $0.00197725, 5 с
2026-09-13 23:53:54,917 INFO research.external_ocr_models: 51/97 IMG_0130_1L.jpg: ok, 2293 tok → 974 tok, $0.00203425, 5 с
2026-09-13 23:53:56,507 INFO research.external_ocr_models: 52/97 IMG_0130_2R.jpg: ok, 2293 tok → 1050 tok, $0.00214825, 5 с
