page,model,provider,json_mode_used,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,latency_s,attempts,page_number,is_toc,content_chars,parse_error,error
IMG_0104_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2259,174,103,0.00082575,3.05,1,,False,44,,
IMG_0105_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,705,106,0.00163075,4.74,1,,False,1889,,
IMG_0106_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,938,104,0.00198025,5.51,1,2,False,3397,,
IMG_0106_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,995,106,0.00206575,5.7,1,3,False,3481,,
IMG_0107_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,996,107,0.00206725,5.43,1,4,False,3498,,
IMG_0107_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,876,0,0.00188725,4.73,1,5,False,3557,,
IMG_0108_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,958,107,0.00201025,5.4,1,6,False,3298,,
IMG_0108_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,760,107,0.00171325,4.95,1,,False,2577,,
IMG_0109_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,807,114,0.00178375,4.75,1,8,False,2688,,
IMG_0109_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,887,103,0.00190375,4.97,1,9,False,3530,,
IMG_0110_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,934,105,0.00197425,6.15,1,10,False,3466,,
IMG_0110_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1002,114,0.00207625,5.09,1,11,False,3402,,
IMG_0111_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,979,110,0.00204175,5.58,1,12,False,3505,,
IMG_0111_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,793,0,0.00176275,4.99,1,13,False,3423,,
IMG_0112_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,892,0,0.00191125,5.15,1,,False,3421,,
IMG_0112_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1201,106,0.00237475,5.4,1,15,False,2900,,
IMG_0113_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,990,107,0.00205825,5.33,1,16,False,3491,,
IMG_0113_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1064,114,0.00216925,5.36,1,17,False,3558,,
IMG_0114_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1249,103,0.00244675,5.62,1,18,False,3622,,
IMG_0114_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1450,105,0.00274825,6.0,1,19,False,3666,,
IMG_0115_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,766,111,0.00172225,4.84,1,,False,2523,,
IMG_0115_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1151,105,0.00229975,5.99,1,21,False,4329,,
IMG_0116_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1384,0,0.00264925,5.75,1,22,False,5349,,
IMG_0116_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1238,106,0.00243025,6.23,1,23,False,4891,,
IMG_0117_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1314,114,0.00254425,6.34,1,24,False,5436,,
IMG_0117_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,937,114,0.00197875,5.31,1,25,False,3147,,
IMG_0118_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,720,0,0.00165325,4.41,1,26,False,2766,,
IMG_0118_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1083,104,0.00219775,5.99,1,27,False,3706,,
IMG_0119_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,935,104,0.00197575,5.11,1,28,False,3552,,
IMG_0119_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,810,0,0.00178825,4.85,1,29,False,3421,,
IMG_0120_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,454,0,0.00125425,3.94,1,,False,1987,,
IMG_0120_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,900,104,0.00192325,4.69,1,31,False,2901,,
IMG_0121_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,970,104,0.00202825,5.13,1,32,False,2316,,
IMG_0121_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,867,0,0.00187375,5.08,1,33,False,2101,,
IMG_0122_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,700,0,0.00162325,4.26,1,34,False,2551,,
IMG_0122_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1960,102,0.00351325,7.19,1,35,False,4402,,
IMG_0123_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,604,103,0.00147925,4.09,1,36,False,1771,,
IMG_0123_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,660,103,0.00156325,4.51,1,37,False,2221,,
IMG_0124_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1130,106,0.00226825,5.39,1,38,False,3650,,
IMG_0124_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1036,115,0.00212725,5.35,1,39,False,3582,,
IMG_0125_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,902,110,0.00192625,4.99,1,40,False,3454,,
IMG_0125_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,2985,2144,0.00505075,11.09,1,41,False,3594,,
IMG_0126_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,719,0,0.00165175,4.57,1,42,False,2408,,
IMG_0126_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1046,106,0.00214225,5.17,1,43,False,3587,,
IMG_0127_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,890,0,0.00190825,4.68,1,44,False,3211,,
IMG_0127_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,990,0,0.00205825,5.48,1,45,False,3532,,
IMG_0128_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,1112,110,0.00224125,5.49,1,46,False,3422,,
IMG_0128_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,990,114,0.00205825,5.4,1,47,False,3322,,
IMG_0129_1L.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,848,0,0.00184525,4.83,1,,False,2968,,
IMG_0129_2R.jpg,gemini-31-flash-lite,Google,json_schema,stop,2293,936,114,0.00197725,5.19,1,49,False,2798,,
