2026-09-13 23:55:06,772 INFO research.external_ocr_models: пропущено готовых: 0
2026-09-13 23:55:06,772 INFO research.external_ocr_models: qwen38-flash (qwen/qwen3.8-flash): 97 полос, 4 потоков, strips=1, max_side=2200
2026-09-13 23:55:11,480 INFO research.external_ocr_models: 1/97 IMG_0104_2R.jpg: ok, 3694 tok → 70 tok, $0.000449784, 4 с
2026-09-13 23:55:15,538 INFO research.external_ocr_models: 2/97 IMG_0105_2R.jpg: ok, 3720 tok → 563 tok, $0.000685394, 8 с
2026-09-13 23:55:16,750 INFO research.external_ocr_models: 3/97 IMG_0106_2R.jpg: ok, 3720 tok → 855 tok, $0.00095985, 10 с
2026-09-13 23:55:18,079 INFO research.external_ocr_models: 4/97 IMG_0106_1L.jpg: ok, 3720 tok → 815 tok, $0.000803834, 11 с
2026-09-13 23:55:25,367 INFO research.external_ocr_models: 5/97 IMG_0107_1L.jpg: ok, 3720 tok → 866 tok, $0.000827804, 14 с
2026-09-13 23:55:27,912 INFO research.external_ocr_models: 6/97 IMG_0108_1L.jpg: ok, 3720 tok → 831 tok, $0.000811354, 11 с
2026-09-13 23:55:31,938 INFO research.external_ocr_models: 7/97 IMG_0107_2R.jpg: ok, 3720 tok → 855 tok, $0.000822634, 16 с
2026-09-13 23:55:32,243 INFO research.external_ocr_models: 8/97 IMG_0108_2R.jpg: ok, 3720 tok → 642 tok, $0.000722524, 14 с
2026-09-13 23:55:35,277 INFO research.external_ocr_models: 9/97 IMG_0109_1L.jpg: ok, 3720 tok → 684 tok, $0.000742264, 10 с
2026-09-13 23:55:41,612 INFO research.external_ocr_models: 10/97 IMG_0109_2R.jpg: ok, 3720 tok → 764 tok, $0.000779864, 13 с
2026-09-13 23:55:43,747 INFO research.external_ocr_models: 11/97 IMG_0110_2R.jpg: ok, 3720 tok → 899 tok, $0.000843314, 11 с
2026-09-13 23:55:46,152 INFO research.external_ocr_models: 12/97 IMG_0110_1L.jpg: ok, 3720 tok → 846 tok, $0.000818404, 14 с
2026-09-13 23:55:46,175 INFO research.external_ocr_models: 13/97 IMG_0111_1L.jpg: ok, 3720 tok → 831 tok, $0.000811354, 11 с
2026-09-13 23:55:51,724 INFO research.external_ocr_models: 14/97 IMG_0111_2R.jpg: ok, 3720 tok → 801 tok, $0.000797254, 10 с
2026-09-13 23:55:55,198 INFO research.external_ocr_models: 15/97 IMG_0112_1L.jpg: ok, 3720 tok → 880 tok, $0.000834384, 11 с
2026-09-13 23:55:57,387 INFO research.external_ocr_models: 16/97 IMG_0113_1L.jpg: ok, 3720 tok → 848 tok, $0.000819344, 11 с
2026-09-13 23:55:57,582 INFO research.external_ocr_models: 17/97 IMG_0112_2R.jpg: ok, 3720 tok → 923 tok, $0.000854594, 11 с
2026-09-13 23:56:02,970 INFO research.external_ocr_models: 18/97 IMG_0113_2R.jpg: ok, 3720 tok → 920 tok, $0.000853184, 11 с
2026-09-13 23:56:08,499 INFO research.external_ocr_models: 19/97 IMG_0114_1L.jpg: ok, 3720 tok → 994 tok, $0.000887964, 13 с
2026-09-13 23:56:08,750 INFO research.external_ocr_models: 20/97 IMG_0115_1L.jpg: ok, 3720 tok → 625 tok, $0.000714534, 11 с
2026-09-13 23:56:09,658 INFO research.external_ocr_models: 21/97 IMG_0114_2R.jpg: ok, 3720 tok → 1109 tok, $0.000942014, 12 с
2026-09-13 23:56:17,784 INFO research.external_ocr_models: 22/97 IMG_0115_2R.jpg: ok, 3720 tok → 1031 tok, $0.000905354, 15 с
2026-09-13 23:56:23,381 INFO research.external_ocr_models: 23/97 IMG_0117_1L.jpg: ok, 3720 tok → 1164 tok, $0.000967864, 13 с
