page,model,provider,json_mode_used,finish_reason,prompt_tokens,completion_tokens,reasoning_tokens,cost_usd,latency_s,attempts,page_number,is_toc,content_chars,parse_error,error
IMG_0104_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3694,70,0,0.000449784,4.29,1,,False,43,,
IMG_0105_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,563,0,0.000685394,8.42,1,,False,1957,,
IMG_0106_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,815,0,0.000803834,10.96,1,2,False,3398,,
IMG_0106_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,855,0,0.00095985,9.63,1,3,False,3481,,
IMG_0107_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,866,0,0.000827804,13.59,1,4,False,3499,,
IMG_0107_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,855,0,0.000822634,16.12,1,5,False,3557,,
IMG_0108_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,831,0,0.000811354,10.88,1,6,False,3303,,
IMG_0108_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,642,0,0.000722524,13.89,1,,False,2571,,
IMG_0109_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,684,0,0.000742264,9.64,1,8,False,2690,,
IMG_0109_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,764,0,0.000779864,13.39,1,9,False,3525,,
IMG_0110_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,846,0,0.000818404,13.91,1,10,False,3472,,
IMG_0110_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,899,0,0.000843314,11.18,1,11,False,3388,,
IMG_0111_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,831,0,0.000811354,10.62,1,12,False,3506,,
IMG_0111_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,801,0,0.000797254,9.81,1,13,False,3428,,
IMG_0112_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,880,0,0.000834384,11.15,1,,False,3423,,
IMG_0112_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,923,0,0.000854594,11.12,1,15,False,2446,,
IMG_0113_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,848,0,0.000819344,10.9,1,16,False,3495,,
IMG_0113_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,920,0,0.000853184,10.94,1,17,False,3562,,
IMG_0114_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,994,0,0.000887964,13.0,1,18,False,3330,,
IMG_0114_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1109,0,0.000942014,11.98,1,19,False,3068,,
IMG_0115_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,625,0,0.000714534,10.88,1,,False,2527,,
IMG_0115_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1031,0,0.000905354,14.52,1,21,False,4361,,
IMG_0116_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1341,0,0.001051054,20.0,1,22,False,5380,,
IMG_0116_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1152,0,0.000962224,17.35,1,23,False,4944,,
IMG_0117_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1164,0,0.000967864,13.42,1,24,False,5432,,
IMG_0117_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,803,0,0.000798194,9.67,1,25,False,3194,,
IMG_0118_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,699,0,0.000749314,10.1,1,26,False,2767,,
IMG_0118_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,929,0,0.000857414,16.06,1,27,False,3694,,
IMG_0119_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,772,0,0.000783624,10.54,1,28,False,3545,,
IMG_0119_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,749,0,0.000772814,12.06,1,29,False,3388,,
IMG_0120_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,446,0,0.000630404,8.98,1,,False,1990,,
IMG_0120_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,791,0,0.000792554,12.62,1,31,False,2901,,
IMG_0121_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,732,0,0.000764824,12.75,1,32,False,2101,,
IMG_0121_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,721,0,0.000759654,11.72,1,33,False,1702,,
IMG_0122_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,737,0,0.000767174,11.96,1,34,False,2601,,
IMG_0122_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,1382,0,0.001070324,15.33,1,35,False,3057,,
IMG_0123_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,584,0,0.000695264,10.55,1,36,False,1956,,
IMG_0123_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,543,0,0.000675994,8.83,1,37,False,2223,,
IMG_0124_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,989,0,0.000885614,12.67,1,38,False,3652,,
IMG_0124_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,868,0,0.000828744,12.34,1,39,False,3585,,
IMG_0125_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,793,0,0.000793494,11.6,1,40,False,3454,,
IMG_0125_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,812,0,0.000802424,14.15,1,41,False,3594,,
IMG_0126_1L.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,722,0,0.000760124,8.6,1,42,False,2380,,
IMG_0126_2R.jpg,qwen38-flash,Alibaba,json_schema,stop,3720,924,0,0.000855064,11.84,1,43,False,3587,,
