issue,page,diagnosis,expect,v2_tables,v2_dirty,v2_outside,v2_foreign,v3_tables,v3_dirty,v3_outside,v3_foreign
1966_03,20,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0031
1966_06,86,fr_нашёл,таблица,0,0,0,0.0,0,0,0,0.0
1967_02,74,график,нет,1,2,0,0.0,0,0,0,0.0
1967_02,75,график,нет,1,0,0,0.0,0,0,0,0.0
1967_03,9,fr_нашёл,таблица,0,0,0,0.0,0,0,0,0.0
1967_05,58,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1967_07,67,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1967_07,80,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1967_07,81,fr_нашёл,таблица,0,0,0,0.0,3,0,0,0.0
1967_10,74,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1967_12,89,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1967_12,90,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1967_12,94,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_01,31,текст_рядом,таблица,1,2,1,0.0,1,0,1,0.0011
1968_02,26,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_02,27,fr_нашёл,таблица,0,0,0,0.0,2,0,0,0.0
1968_02,29,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_02,69,блок_схема,нет,1,0,0,0.0,1,0,0,0.0
1968_02,79,line_art,нет,1,1,0,0.0,1,0,0,0.0281
1968_04,39,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_04,40,кусок_блок_схемы,,1,3,8,0.0117,1,0,0,0.0628
1968_05,55,график,нет,1,0,0,0.0,1,0,0,0.0
1968_05,61,есть_ещё_таблицы,таблица,1,0,0,0.0001,3,0,0,0.1875
1968_05,74,текст_рядом,таблица,2,1,0,0.174,2,0,1,0.0
1968_10,14,режет_текст,таблица,1,2,1,0.0483,1,0,3,0.0
1968_12,92,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_12,93,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1968_12,94,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1969_02,26,режет_текст,таблица,1,1,0,0.0908,1,0,0,0.105
1969_02,27,режет_текст,таблица,1,3,0,0.282,1,0,0,0.2978
1969_02,70,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1969_06,39,режет_текст,таблица,1,2,0,0.0242,1,0,0,0.0526
1969_06,40,режет_текст,таблица,1,1,0,0.0166,1,0,0,0.0354
1969_06,44,режет_текст,таблица,1,1,0,0.0918,1,0,1,0.0
1969_06,65,режет_текст,таблица,1,1,0,0.0137,1,0,0,0.0696
1969_06,67,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1969_07,14,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0006
1969_08,53,график,нет,1,0,0,0.0,0,0,0,0.0
1969_08,55,fr_нашёл,таблица,0,0,0,0.0,2,0,2,0.0001
1969_11,38,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0001
1969_11,66,line_art,нет,1,3,5,0.0,0,0,0,0.0
1969_12,55,есть_ещё_таблицы,таблица,1,0,8,0.0,1,0,0,0.072
1969_12,93,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1969_12,96,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1970_02,63,кусок_блок_схемы,,2,0,11,0.0,1,0,4,0.0
1970_02,78,кусок_блок_схемы,,1,0,4,0.0,1,0,7,0.0198
1970_06,62,блок_схема,нет,1,0,0,0.1061,1,0,2,0.0106
1970_06,64,кусок_блок_схемы,,1,0,3,0.0,1,0,3,0.0
1970_10,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1970_11,88,кусок_блок_схемы,,1,1,8,0.014,1,0,8,0.008
1971_01,28,режет_текст,таблица,1,2,1,0.1201,1,0,0,0.3189
1971_03,38,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0
1971_06,45,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1971_06,46,fr_нашёл,таблица,0,0,0,0.0,2,0,0,0.0211
1971_06,87,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1971_07,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1971_07,95,не_целиком,таблица,1,1,0,0.0032,1,0,0,0.0033
1971_08,30,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1971_08,33,не_оценил,,2,1,4,0.0,2,0,2,0.0159
1971_08,70,не_целиком,таблица,1,0,0,0.0,1,0,0,0.129
1971_09,4,рамка_страницы,нет,1,1,0,0.0,1,0,0,0.0
1971_09,98,режет_текст,таблица,1,0,0,0.0111,1,0,0,0.0111
1971_10,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1971_10,97,не_оценил,,1,0,3,0.0,1,0,3,0.0
1971_12,97,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1971_12,98,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_01,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1972_01,69,не_целиком,таблица,2,1,8,0.4868,3,0,1,0.4868
1972_05,66,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_06,37,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0063
1972_06,73,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0007
1972_06,74,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_06,83,не_оценил,,1,1,1,0.0026,1,1,1,0.0026
1972_07,75,есть_ещё_таблицы,таблица,2,0,3,0.0,6,0,0,0.0
1972_10,36,есть_ещё_таблицы,таблица,2,1,0,0.0,3,0,0,0.0
1972_11,38,есть_ещё_таблицы,таблица,2,4,9,0.0032,2,0,0,0.0593
1972_12,93,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_12,94,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_12,96,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1972_12,97,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_03,75,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_04,55,рисунок,нет,1,0,0,0.0,1,1,0,0.0
1973_04,57,рисунок,нет,1,1,0,0.0,1,0,0,0.0005
1973_04,58,рисунок,нет,1,1,0,0.0,0,0,0,0.0
1973_05,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_05,85,fr_шум,таблица,0,0,0,0.0,1,0,0,0.0
1973_08,18,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0
1973_08,22,fr_нашёл,таблица,0,0,0,0.0,1,0,6,0.0
1973_08,23,режет_текст,таблица,1,1,0,0.0,1,0,0,0.0161
1973_08,24,fr_нашёл,таблица,0,0,0,0.0,1,0,0,0.0084
1973_08,25,не_оценил,,1,2,0,0.0006,1,1,0,0.0006
1973_08,31,не_оценил,,2,0,4,0.0001,2,0,0,0.1058
1973_08,32,не_оценил,,1,0,0,0.0,1,0,0,0.0
1973_10,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_10,27,кусок_блок_схемы,,1,0,8,0.0709,1,1,7,0.0108
1973_10,50,режет_текст,таблица,1,3,0,0.0992,1,2,1,0.0165
1973_10,51,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_11,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
1973_11,73,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,85,режет_текст,таблица,1,2,1,0.0028,1,0,0,0.0224
1973_12,86,режет_текст,таблица,1,2,1,0.0,1,1,0,0.0073
1973_12,92,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,94,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,96,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1973_12,97,fr_шум,нет,0,0,0,0.0,0,0,0,0.0
1974_01,36,блок_схема,нет,1,0,0,0.0206,1,0,0,0.0206
1974_01,68,режет_текст,таблица,1,1,6,0.0419,1,0,6,0.0
1974_02,3,рамка_страницы,нет,1,0,0,0.0,1,0,0,0.0
