issue,page,diagnosis,expect,v3_tables,v3_dirty,v3_crossed,v3_outside,v3_foreign,v4_tables,v4_dirty,v4_crossed,v4_outside,v4_foreign,v4_diagrams,v4_drawings,v4_kind_ok
1966_02,16,текст_рядом,таблица,1,0,0,0,0.0619,1,0,0,0,0.0619,0,0,1
1966_02,50,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1966_03,20,fr_нашёл,таблица,1,0,0,0,0.0031,1,0,0,3,0.0,0,0,1
1966_03,34,схема_пополам,нет,1,0,0,6,0.0214,1,1,0,0,0.0022,0,1,0
1966_03,81,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1966_05,29,текст_рядом,таблица,2,1,13,0,0.0259,2,1,0,1,0.0001,0,0,1
1966_06,86,fr_нашёл,таблица,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_02,74,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1967_02,75,график,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,1,1
1967_03,9,fr_нашёл,таблица,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_05,58,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_05,66,line_art_кусок,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1967_07,67,fr_нашёл,таблица,1,0,0,0,0.0,1,0,0,0,0.0006,0,0,1
1967_07,80,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_07,81,текст_рядом,таблица,3,0,0,0,0.0,3,2,0,0,0.0003,0,0,1
1967_10,35,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1967_10,74,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
1967_12,89,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_12,90,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1967_12,94,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1968_01,10,заголовок_line_art,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1968_01,20,заголовок_line_art,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1968_01,31,текст_рядом,таблица,1,0,1,1,0.0011,1,0,0,1,0.0012,0,0,1
1968_01,75,номер_страницы,таблица,2,0,0,0,0.0001,2,0,0,0,0.0001,0,0,1
1968_02,26,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1968_02,27,fr_нашёл,таблица,2,0,0,0,0.0,2,0,0,0,0.0,0,0,1
1968_02,29,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,0,0,
1968_02,30,текст_рядом,таблица,1,0,0,0,0.0,1,0,0,0,0.0,0,0,1
1968_02,69,блок_схема,нет,1,0,0,0,0.0,0,0,0,0,0.0,1,0,1
1968_02,79,схема_целиком,нет,1,0,1,0,0.0281,0,0,0,0,0.0,1,0,1
1968_04,39,fr_шум,нет,0,0,0,0,0.0,0,0,0,0,0.0,1,0,
