issue,page_number,scan_rel_path,index,x0,y0,x1,y1,dpi,verdict,reason,inner_v,inner_h,gutters,gutter_share,line_span,lattice,glyph_share,glyph_of_ink,edge_fill,cells,filled_cells
1966_01,28,1966/01/IMG_0017_2R.tif,0,386,124,827,580,150,таблица,,3.0,3.0,1.0,0.041,0.091,1.0,0.0864,0.821,0.824,9.0,1.0
1966_01,28,1966/01/IMG_0017_2R.tif,1,387,646,831,1188,150,таблица,,5.0,2.0,3.0,0.093,0.081,1.0,0.0915,0.828,0.765,8.0,1.0
1966_01,49,1966/01/IMG_0028_1L.tif,0,71,438,558,825,150,таблица,,5.0,1.0,4.0,0.13,0.088,1.0,0.0777,0.797,1.0,10.0,1.0
1966_01,49,1966/01/IMG_0028_1L.tif,1,72,897,501,1246,150,таблица,,2.0,1.0,2.0,0.066,0.098,1.0,0.0805,0.826,0.857,5.0,1.0
1966_01,50,1966/01/IMG_0028_2R.tif,0,448,334,841,484,150,таблица,,2.0,1.0,3.0,0.243,0.089,1.0,0.0556,0.691,1.0,6.0,1.0
1966_01,51,1966/01/IMG_0029_1L.tif,0,63,362,497,719,150,таблица,,4.0,2.0,2.0,0.075,0.085,1.0,0.0957,0.786,0.818,12.0,0.917
1966_01,52,1966/01/IMG_0029_2R.tif,0,387,868,840,1017,150,таблица,,2.0,1.0,2.0,0.479,0.156,1.0,0.0519,0.636,0.714,4.0,1.0
1966_01,76,1966/01/IMG_0042_2R.tif,0,43,97,848,426,150,таблица,,17.0,2.0,7.0,0.149,0.027,1.0,0.0576,0.617,0.769,22.0,1.0
1966_01,76,1966/01/IMG_0042_2R.tif,1,50,1094,848,1421,150,таблица,,11.0,2.0,6.0,0.092,0.03,1.0,0.0531,0.671,0.781,14.0,1.0
1966_01,77,1966/01/IMG_0043_1L.tif,0,70,1021,840,1475,150,таблица,,18.0,5.0,6.0,0.104,0.027,1.0,0.037,0.622,0.634,24.0,0.875
1966_01,78,1966/01/IMG_0043_2R.tif,0,462,153,833,382,150,таблица,,8.0,2.0,3.0,0.136,0.058,1.0,0.0762,0.708,0.667,12.0,1.0
1966_01,80,1966/01/IMG_0044_2R.tif,0,445,1092,849,1330,150,таблица,,5.0,2.0,0.0,0.0,0.057,1.0,0.0893,0.788,0.909,13.0,1.0
1966_01,96,1966/01/IMG_0052_2R.tif,0,53,249,845,530,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.148,0.0,0.0725,0.833,0.0,1.0,1.0
1966_01,96,1966/01/IMG_0052_2R.tif,1,51,979,843,1404,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.141,0.0,0.0992,0.891,0.0,1.0,1.0
1966_01,97,1966/01/IMG_0053_1L.tif,0,55,91,833,652,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.093,0.0,0.0966,0.858,0.0,1.0,1.0
1966_02,14,1966/02/IMG_0061_2R.tif,0,396,955,842,1142,150,таблица,,4.0,1.0,2.0,0.065,0.078,1.0,0.0908,0.73,0.692,5.0,1.0
1966_02,16,1966/02/IMG_0062_2R.tif,0,398,836,836,1080,150,таблица,,2.0,1.0,4.0,0.11,0.079,1.0,0.0656,0.744,0.714,3.0,1.0
1966_02,46,1966/02/IMG_0077_2R.tif,0,59,924,513,1099,150,таблица,,3.0,1.0,1.0,0.022,0.083,1.0,0.0631,0.687,0.7,4.0,1.0
1966_02,47,1966/02/IMG_0078_1L.tif,0,67,430,842,645,150,таблица,,5.0,2.0,2.0,0.028,0.037,1.0,0.0666,0.674,0.63,8.0,0.875
1966_02,50,1966/02/IMG_0079_2R.tif,0,343,317,847,619,150,таблица,,4.0,2.0,2.0,0.042,0.072,1.0,0.0632,0.726,0.647,8.0,0.75
1966_02,54,1966/02/IMG_0081_2R.tif,0,60,1073,839,1314,150,таблица,,5.0,1.0,10.0,0.354,0.051,1.0,0.0694,0.73,0.688,6.0,1.0
1966_02,57,1966/02/IMG_0083_1L.tif,0,113,186,783,481,150,таблица,,6.0,1.0,0.0,0.0,0.057,1.0,0.0896,0.817,1.0,8.0,1.0
1966_02,58,1966/02/IMG_0083_2R.tif,0,395,278,837,498,150,таблица,,3.0,1.0,8.0,0.266,0.059,1.0,0.0568,0.666,1.0,8.0,1.0
1966_02,62,1966/02/IMG_0085_2R.tif,0,122,875,764,1117,150,таблица,,8.0,2.0,6.0,0.133,0.055,1.0,0.0731,0.695,0.852,14.0,1.0
1966_02,68,1966/02/IMG_0088_2R.tif,0,132,688,761,986,150,таблица,,2.0,2.0,0.0,0.0,0.141,1.0,0.0965,0.826,0.667,5.0,1.0
1966_02,79,1966/02/IMG_0094_1L.tif,0,81,851,822,1078,150,таблица,,10.0,1.0,17.0,0.326,0.035,1.0,0.0892,0.734,1.0,20.0,1.0
1966_02,80,1966/02/IMG_0094_2R.tif,0,403,177,816,847,150,таблица,,4.0,6.0,2.0,0.107,0.061,1.0,0.0573,0.763,0.688,11.0,1.0
1966_02,81,1966/02/IMG_0095_1L.tif,0,84,895,820,1434,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.182,0.0,0.1498,0.901,0.0,1.0,1.0
1966_02,95,1966/02/IMG_0102_1L.tif,0,87,700,818,1191,150,таблица,,1.0,1.0,2.0,0.059,0.114,1.0,0.1193,0.922,1.0,4.0,1.0
1966_03,16,1966/03/IMG_0112_2R.tif,0,64,580,801,836,150,таблица,,5.0,2.0,5.0,0.205,0.058,1.0,0.067,0.705,0.682,8.0,1.0
1966_03,19,1966/03/IMG_0114_1L.tif,0,67,400,514,759,150,таблица,,2.0,1.0,10.0,0.358,0.076,1.0,0.077,0.802,1.0,6.0,0.833
1966_03,33,1966/03/IMG_0121_1L.tif,0,64,314,808,972,150,таблица,,20.0,10.0,5.0,0.198,0.043,1.0,0.0246,0.117,0.778,159.0,0.208
1966_03,34,1966/03/IMG_0121_2R.tif,0,75,122,525,772,150,таблица,,4.0,2.0,1.0,0.027,0.149,1.0,0.0865,0.839,0.706,8.0,0.875
1966_03,35,1966/03/IMG_0122_1L.tif,0,184,359,782,742,150,нет,"не таблица: рёбер на месте 31%, букв в краске 23%, колонок 21",21.0,17.0,0.0,0.0,0.017,1.0,0.0307,0.227,0.305,9.0,0.444
1966_03,36,1966/03/IMG_0122_2R.tif,0,62,132,802,970,150,таблица,,12.0,2.0,0.0,0.0,0.046,1.0,0.0929,0.822,0.844,17.0,0.941
1966_03,37,1966/03/IMG_0123_1L.tif,0,241,320,615,704,150,таблица,,6.0,2.0,3.0,0.215,0.029,1.0,0.0475,0.388,0.704,11.0,0.455
1966_03,59,1966/03/IMG_0134_1L.tif,0,56,964,813,1277,150,таблица,,13.0,5.0,3.0,0.056,0.067,1.0,0.057,0.596,0.763,32.0,0.781
1966_03,79,1966/03/IMG_0144_1L.tif,0,85,619,809,1179,150,таблица,,2.0,2.0,2.0,0.055,0.058,1.0,0.0607,0.802,1.0,9.0,1.0
1966_03,81,1966/03/IMG_0145_1L.tif,0,57,666,510,1006,150,таблица,,7.0,1.0,5.0,0.269,0.049,1.0,0.0619,0.651,1.0,12.0,0.583
1966_03,96,1966/03/IMG_0152_2R.tif,0,67,125,801,1425,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.132,0.0,0.1255,0.893,0.0,1.0,1.0
1966_04,29,1966/04/IMG_0018_1L.tif,0,119,535,781,767,150,таблица,,4.0,1.0,5.0,0.106,0.063,1.0,0.0867,0.699,0.9,7.0,1.0
1966_04,45,1966/04/IMG_0026_1L.tif,0,95,138,776,690,150,таблица,,14.0,3.0,0.0,0.0,0.057,1.0,0.08,0.736,0.763,18.0,0.944
1966_04,56,1966/04/IMG_0031_2R.tif,0,95,524,790,948,150,таблица,,3.0,4.0,1.0,0.019,0.052,1.0,0.088,0.736,0.774,13.0,1.0
1966_04,56,1966/04/IMG_0031_2R.tif,1,97,1179,792,1406,150,таблица,,9.0,3.0,4.0,0.145,0.063,1.0,0.079,0.642,0.658,13.0,1.0
1966_04,69,1966/04/IMG_0038_1L.tif,0,469,770,829,1118,150,таблица,,2.0,2.0,2.0,0.077,0.062,1.0,0.0731,0.659,1.0,9.0,0.889
1966_05,13,1966/05/0080_1L.tif,0,441,193,810,393,150,таблица,,5.0,1.0,4.0,0.15,0.06,1.0,0.0781,0.753,1.0,8.0,1.0
1966_05,15,1966/05/0090_1L.tif,0,53,130,470,339,150,таблица,,3.0,2.0,0.0,0.0,0.094,1.0,0.1022,0.805,0.667,5.0,1.0
1966_05,15,1966/05/0090_1L.tif,1,58,652,425,853,150,таблица,,3.0,1.0,3.0,0.125,0.093,1.0,0.0776,0.757,1.0,6.0,1.0
1966_05,20,1966/05/0110_2R.tif,0,53,136,482,383,150,таблица,,8.0,3.0,2.0,0.1,0.079,1.0,0.0815,0.695,0.742,13.0,0.923
1966_05,26,1966/05/0140_2R.tif,0,351,828,801,1104,150,таблица,,3.0,1.0,2.0,0.055,0.06,1.0,0.0707,0.629,1.0,8.0,1.0
1966_05,27,1966/05/0150_1L.tif,0,46,342,514,682,150,таблица,,6.0,1.0,3.0,0.095,0.058,1.0,0.0674,0.659,1.0,8.0,1.0
1966_05,27,1966/05/0150_1L.tif,1,50,797,515,1079,150,таблица,,3.0,1.0,0.0,0.0,0.06,1.0,0.0923,0.718,1.0,8.0,1.0
1966_05,28,1966/05/0150_2R.tif,0,338,391,790,700,150,таблица,,5.0,2.0,1.0,0.022,0.071,1.0,0.0984,0.718,0.588,8.0,1.0
1966_05,28,1966/05/0150_2R.tif,1,370,886,795,1165,150,таблица,,6.0,1.0,1.0,0.024,0.061,1.0,0.0786,0.691,1.0,8.0,1.0
1966_05,29,1966/05/0160_1L.tif,0,52,179,473,570,150,таблица,,6.0,1.0,1.0,0.038,0.062,1.0,0.0724,0.671,1.0,8.0,1.0
1966_05,29,1966/05/0160_1L.tif,1,51,691,476,1160,150,таблица,,7.0,1.0,5.0,0.249,0.06,1.0,0.104,0.707,1.0,12.0,1.0
1966_05,30,1966/05/0160_2R.tif,0,68,161,818,399,150,нет,"не таблица: рёбер на месте 40%, букв в краске 23%, колонок 28",28.0,10.0,3.0,0.061,0.017,1.0,0.0268,0.232,0.402,108.0,0.213
1966_05,53,1966/05/0280_1L.tif,0,55,248,800,987,150,таблица,,9.0,2.0,0.0,0.0,0.048,1.0,0.1137,0.869,0.704,12.0,1.0
1966_05,68,1966/05/0350_2R.tif,0,431,847,804,1170,150,таблица,,1.0,1.0,1.0,0.031,0.241,1.0,0.1393,0.9,1.0,4.0,1.0
1966_05,97,1966/05/0500_1L.tif,0,63,752,797,1389,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.139,0.0,0.0966,0.853,0.0,1.0,1.0
1966_06,25,1966/06/IMG_0116_1L.tif,0,73,664,507,1117,150,таблица,,14.0,3.0,1.0,0.028,0.018,1.0,0.0853,0.624,0.685,26.0,1.0
