issue,page_number,scan_rel_path,index,x0,y0,x1,y1,dpi,verdict,reason,inner_v,inner_h,gutters,gutter_share,line_span,lattice,glyph_share,glyph_of_ink,edge_fill,cells,filled_cells
1966_01,28,1966/01/IMG_0017_2R.jpg,0,385,123,827,580,150,таблица,,2.0,3.0,1.0,0.041,0.105,1.0,0.1205,0.83,0.824,9.0,1.0
1966_01,28,1966/01/IMG_0017_2R.jpg,1,387,645,831,1187,150,таблица,,4.0,2.0,3.0,0.083,0.081,1.0,0.1238,0.829,0.824,9.0,1.0
1966_01,49,1966/01/IMG_0028_1L.jpg,0,70,438,558,825,150,таблица,,4.0,1.0,4.0,0.12,0.092,1.0,0.1065,0.793,1.0,10.0,1.0
1966_01,49,1966/01/IMG_0028_1L.jpg,1,72,896,501,1252,150,таблица,,2.0,1.0,2.0,0.066,0.101,1.0,0.112,0.84,0.857,5.0,1.0
1966_01,50,1966/01/IMG_0028_2R.jpg,0,447,333,840,484,150,таблица,,2.0,1.0,3.0,0.241,0.089,1.0,0.0785,0.701,1.0,6.0,1.0
1966_01,51,1966/01/IMG_0029_1L.jpg,0,63,361,497,719,150,таблица,,4.0,2.0,2.0,0.073,0.09,1.0,0.1313,0.789,0.864,13.0,0.923
1966_01,52,1966/01/IMG_0029_2R.jpg,0,387,867,840,1247,150,таблица,,2.0,2.0,6.0,0.21,0.086,1.0,0.0844,0.812,0.833,7.0,1.0
1966_01,76,1966/01/IMG_0042_2R.jpg,0,43,96,848,426,150,таблица,,12.0,2.0,6.0,0.136,0.029,1.0,0.0809,0.632,0.769,22.0,1.0
1966_01,76,1966/01/IMG_0042_2R.jpg,1,48,1093,847,1420,150,таблица,,9.0,2.0,6.0,0.12,0.03,1.0,0.0746,0.68,0.781,14.0,1.0
1966_01,77,1966/01/IMG_0043_1L.jpg,0,69,1020,840,1477,150,таблица,,15.0,5.0,4.0,0.073,0.027,1.0,0.0506,0.635,0.634,24.0,0.875
1966_01,78,1966/01/IMG_0043_2R.jpg,0,462,152,835,382,150,таблица,,8.0,2.0,3.0,0.132,0.051,1.0,0.1093,0.72,0.667,12.0,1.0
1966_01,79,1966/01/IMG_0044_1L.jpg,0,61,222,831,374,150,таблица,,17.0,1.0,13.0,0.166,0.026,1.0,0.0842,0.705,0.962,34.0,1.0
1966_01,80,1966/01/IMG_0044_2R.jpg,0,444,1091,849,1329,150,таблица,,5.0,2.0,1.0,0.028,0.069,1.0,0.1264,0.776,0.909,13.0,1.0
1966_01,86,1966/01/IMG_0047_2R.jpg,0,396,641,854,939,150,таблица,,4.0,2.0,0.0,0.0,0.09,1.0,0.0864,0.755,0.682,9.0,0.778
1966_01,88,1966/01/IMG_0048_2R.jpg,0,333,423,602,775,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,2.0,0.348,0.152,0.0,0.0317,0.508,0.0,1.0,1.0
1966_01,96,1966/01/IMG_0052_2R.jpg,0,52,248,845,530,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.142,0.0,0.0892,0.811,0.0,1.0,1.0
1966_01,96,1966/01/IMG_0052_2R.jpg,1,51,977,843,1403,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.15,0.0,0.1231,0.886,0.0,1.0,1.0
1966_01,97,1966/01/IMG_0053_1L.jpg,0,55,90,832,652,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.103,0.0,0.1264,0.871,0.0,1.0,1.0
1966_02,14,1966/02/IMG_0061_2R.jpg,0,396,954,842,1142,150,таблица,,4.0,1.0,3.0,0.103,0.081,1.0,0.1244,0.742,0.692,5.0,1.0
1966_02,16,1966/02/IMG_0062_2R.jpg,0,397,836,836,1080,150,таблица,,2.0,1.0,2.0,0.054,0.08,1.0,0.0884,0.765,0.714,3.0,1.0
1966_02,46,1966/02/IMG_0077_2R.jpg,0,58,923,513,1099,150,таблица,,3.0,1.0,2.0,0.064,0.086,1.0,0.0799,0.652,0.7,4.0,1.0
1966_02,47,1966/02/IMG_0078_1L.jpg,0,66,429,842,644,150,таблица,,5.0,2.0,1.0,0.03,0.048,1.0,0.0862,0.655,0.63,8.0,0.875
1966_02,50,1966/02/IMG_0079_2R.jpg,0,343,316,847,619,150,таблица,,3.0,2.0,1.0,0.048,0.073,1.0,0.0841,0.722,0.706,8.0,0.75
1966_02,54,1966/02/IMG_0081_2R.jpg,0,60,1072,838,1314,150,таблица,,5.0,1.0,6.0,0.352,0.053,1.0,0.0944,0.726,0.688,6.0,1.0
1966_02,57,1966/02/IMG_0083_1L.jpg,0,113,185,783,481,150,таблица,,5.0,1.0,0.0,0.0,0.06,1.0,0.1266,0.828,1.0,8.0,1.0
1966_02,58,1966/02/IMG_0083_2R.jpg,0,394,278,837,498,150,таблица,,3.0,1.0,7.0,0.203,0.058,1.0,0.0815,0.699,1.0,8.0,1.0
1966_02,62,1966/02/IMG_0085_2R.jpg,0,121,874,764,1116,150,таблица,,6.0,2.0,5.0,0.118,0.054,1.0,0.1002,0.701,0.852,14.0,1.0
1966_02,68,1966/02/IMG_0088_2R.jpg,0,132,688,761,1019,150,таблица,,2.0,3.0,0.0,0.0,0.114,1.0,0.1222,0.83,0.706,6.0,1.0
1966_02,79,1966/02/IMG_0094_1L.jpg,0,80,850,822,1078,150,таблица,,9.0,1.0,14.0,0.307,0.036,1.0,0.1163,0.727,1.0,20.0,1.0
1966_02,80,1966/02/IMG_0094_2R.jpg,0,403,176,816,847,150,таблица,,3.0,6.0,2.0,0.104,0.063,1.0,0.0741,0.746,0.688,11.0,1.0
1966_02,81,1966/02/IMG_0095_1L.jpg,0,84,894,820,1433,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.233,0.0,0.183,0.902,0.0,1.0,1.0
1966_02,95,1966/02/IMG_0102_1L.jpg,0,85,699,818,1191,150,таблица,,1.0,1.0,1.0,0.063,0.106,1.0,0.1586,0.924,1.0,4.0,1.0
1966_03,16,1966/03/IMG_0112_2R.jpg,0,63,580,801,836,150,таблица,,4.0,2.0,4.0,0.209,0.058,1.0,0.0809,0.709,0.682,8.0,1.0
1966_03,19,1966/03/IMG_0114_1L.jpg,0,67,400,514,759,150,таблица,,2.0,1.0,10.0,0.346,0.077,1.0,0.0923,0.797,1.0,6.0,0.833
1966_03,33,1966/03/IMG_0121_1L.jpg,0,64,314,809,972,150,таблица,,20.0,9.0,1.0,0.156,0.043,1.0,0.0304,0.131,0.801,156.0,0.212
1966_03,34,1966/03/IMG_0121_2R.jpg,0,74,122,537,772,150,таблица,,4.0,2.0,0.0,0.0,0.136,1.0,0.1034,0.842,0.706,8.0,0.875
1966_03,35,1966/03/IMG_0122_1L.jpg,0,136,359,782,742,150,нет,"не таблица: рёбер на месте 32%, букв в краске 23%, колонок 22",22.0,19.0,0.0,0.0,0.021,1.0,0.0344,0.228,0.316,10.0,0.5
1966_03,36,1966/03/IMG_0122_2R.jpg,0,62,132,802,971,150,таблица,,11.0,2.0,0.0,0.0,0.047,1.0,0.1127,0.827,0.844,17.0,0.941
1966_03,37,1966/03/IMG_0123_1L.jpg,0,241,320,615,715,150,нет,"не таблица: рёбер на месте 63%, букв в краске 40%, колонок 7",7.0,2.0,2.0,0.083,0.016,1.0,0.0567,0.396,0.632,14.0,0.5
1966_03,59,1966/03/IMG_0134_1L.jpg,0,55,964,813,1277,150,таблица,,10.0,4.0,3.0,0.059,0.069,1.0,0.0695,0.598,0.763,32.0,0.781
1966_03,79,1966/03/IMG_0144_1L.jpg,0,61,619,810,1179,150,таблица,,3.0,2.0,4.0,0.081,0.048,1.0,0.0716,0.795,1.0,9.0,1.0
1966_03,80,1966/03/IMG_0144_2R.jpg,0,64,807,800,1062,150,таблица,,9.0,2.0,6.0,0.217,0.03,1.0,0.0859,0.682,0.81,19.0,0.684
1966_03,81,1966/03/IMG_0145_1L.jpg,0,56,666,511,1006,150,таблица,,5.0,1.0,5.0,0.26,0.048,1.0,0.0751,0.661,1.0,12.0,0.583
1966_03,96,1966/03/IMG_0152_2R.jpg,0,67,125,801,1425,150,нет,нет внутренних вертикальных линеек — это рамка вокруг текста,0.0,0.0,0.0,0.0,0.169,0.0,0.1526,0.899,0.0,1.0,1.0
1966_04,29,1966/04/IMG_0018_1L.jpg,0,119,535,782,767,150,таблица,,5.0,1.0,5.0,0.102,0.072,1.0,0.1046,0.705,1.0,8.0,1.0
1966_04,45,1966/04/IMG_0026_1L.jpg,0,94,138,776,690,150,таблица,,14.0,3.0,0.0,0.0,0.057,1.0,0.0977,0.748,0.763,18.0,0.944
1966_04,56,1966/04/IMG_0031_2R.jpg,0,95,524,790,948,150,таблица,,3.0,4.0,1.0,0.017,0.052,1.0,0.1062,0.742,0.774,13.0,1.0
1966_04,56,1966/04/IMG_0031_2R.jpg,1,97,1178,792,1406,150,таблица,,9.0,3.0,4.0,0.142,0.065,1.0,0.0958,0.651,0.658,13.0,1.0
1966_04,69,1966/04/IMG_0038_1L.jpg,0,468,770,830,1118,150,таблица,,2.0,2.0,2.0,0.07,0.105,1.0,0.0859,0.672,1.0,9.0,0.889
1966_05,13,1966/05/0080_1L.jpg,0,441,193,812,393,150,таблица,,3.0,1.0,4.0,0.149,0.069,1.0,0.0968,0.746,1.0,8.0,1.0
1966_05,15,1966/05/0090_1L.jpg,0,52,130,470,339,150,таблица,,4.0,2.0,0.0,0.0,0.093,1.0,0.1236,0.804,0.75,6.0,1.0
