issue,index,n_rows,n_cols,page_number,match_score,match_margin,match_source,scan_rel_path
1966_01,0,14,3,28,1.0,0.715,cells,1966/01/IMG_0017_2R.jpg
1966_01,1,16,4,28,0.983,0.867,cells,1966/01/IMG_0017_2R.jpg
1966_01,2,6,6,49,0.937,0.746,cells,1966/01/IMG_0028_1L.jpg
1966_01,3,7,4,50,0.971,0.686,cells,1966/01/IMG_0028_2R.jpg
1966_01,4,10,5,51,1.0,0.975,cells,1966/01/IMG_0029_1L.jpg
1966_01,5,10,3,52,1.0,0.625,cells,1966/01/IMG_0029_2R.jpg
1966_01,6,8,8,76,1.0,0.774,cells,1966/01/IMG_0042_2R.jpg
1966_01,7,8,6,78,0.968,0.775,context,1966/01/IMG_0043_2R.jpg
1966_01,8,6,5,80,0.833,0.417,cells,1966/01/IMG_0044_2R.jpg
1966_01,9,2,5,86,0.842,0.474,context,1966/01/IMG_0047_2R.jpg
1966_02,0,3,5,14,0.946,0.73,cells,1966/02/IMG_0061_2R.jpg
1966_02,1,9,4,16,1.0,0.863,cells,1966/02/IMG_0062_2R.jpg
1966_02,2,4,4,46,1.0,0.501,cells,1966/02/IMG_0077_2R.jpg
1966_02,3,5,6,47,1.0,0.565,cells,1966/02/IMG_0078_1L.jpg
1966_02,4,6,3,50,0.969,0.719,context,1966/02/IMG_0079_2R.jpg
1966_02,5,10,6,54,1.0,0.735,cells,1966/02/IMG_0081_2R.jpg
1966_02,6,2,5,56,0.625,0.125,cells,1966/02/IMG_0082_2R.jpg
1966_02,7,10,5,56,1.0,0.842,cells,1966/02/IMG_0082_2R.jpg
1966_02,8,7,5,56,1.0,0.889,cells,1966/02/IMG_0082_2R.jpg
1966_02,9,10,5,56,1.0,0.914,cells,1966/02/IMG_0082_2R.jpg
1966_02,10,5,4,57,0.867,0.534,cells,1966/02/IMG_0083_1L.jpg
1966_02,11,4,4,58,1.0,0.824,context,1966/02/IMG_0083_2R.jpg
1966_02,12,8,6,62,0.9,0.75,cells,1966/02/IMG_0085_2R.jpg
1966_02,13,10,10,79,1.0,0.788,cells,1966/02/IMG_0094_1L.jpg
1966_03,0,11,5,16,1.0,0.873,cells,1966/03/IMG_0112_2R.jpg
1966_03,1,14,5,20,1.0,0.854,cells,1966/03/IMG_0114_2R.jpg
1966_03,2,4,5,34,0.848,0.609,cells,1966/03/IMG_0121_2R.jpg
1966_03,3,18,7,36,0.981,0.869,cells,1966/03/IMG_0122_2R.jpg
1966_03,4,5,9,59,0.947,0.737,cells,1966/03/IMG_0134_1L.jpg
1966_03,5,8,4,79,1.0,0.723,cells,1966/03/IMG_0144_1L.jpg
1966_04,0,8,4,29,1.0,0.734,cells,1966/04/IMG_0018_1L.jpg
1966_04,1,15,6,45,0.984,0.92,cells,1966/04/IMG_0026_1L.jpg
1966_04,2,5,4,56,0.862,0.484,cells,1966/04/IMG_0031_2R.jpg
1966_04,3,7,6,56,0.964,0.643,cells,1966/04/IMG_0031_2R.jpg
1966_04,4,3,3,69,1.0,0.727,cells,1966/04/IMG_0038_1L.jpg
1966_05,0,3,3,13,0.892,0.689,context,1966/05/0080_1L.jpg
1966_05,1,6,2,15,1.0,0.687,cells,1966/05/0090_1L.jpg
1966_05,2,7,3,15,1.0,0.583,cells,1966/05/0090_1L.jpg
1966_05,3,5,6,20,0.935,0.652,cells,1966/05/0110_2R.jpg
1966_05,4,8,4,26,0.833,0.056,cells,1966/05/0140_2R.jpg
1966_05,5,8,4,27,0.958,0.417,cells,1966/05/0150_1L.jpg
1966_05,6,10,4,27,1.0,0.458,cells,1966/05/0150_1L.jpg
1966_05,7,2,4,28,1.0,0.833,cells,1966/05/0150_2R.jpg
1966_05,8,10,4,28,1.0,0.667,cells,1966/05/0150_2R.jpg
1966_05,9,15,4,29,0.786,0.071,cells,1966/05/0160_1L.jpg
1966_05,10,17,6,29,1.0,1.0,cells,1966/05/0160_1L.jpg
1966_05,11,2,6,53,0.667,0.223,cells,1966/05/0280_1L.jpg
1966_05,12,16,4,53,0.941,0.53,context,1966/05/0280_1L.jpg
1966_06,0,7,3,46,0.897,0.621,cells,1966/06/IMG_0126_2R.jpg
1966_06,1,15,6,54,0.984,0.594,cells,1966/06/IMG_0130_2R.jpg
1966_06,2,19,6,56,0.968,0.632,cells,1966/06/IMG_0131_2R.jpg
1966_06,3,9,7,63,1.0,0.606,cells,1966/06/IMG_0135_1L.jpg
1966_06,4,8,10,64,0.96,0.64,cells,1966/06/IMG_0135_2R.jpg
1966_06,5,14,12,64,0.938,0.723,cells,1966/06/IMG_0135_2R.jpg
1966_06,6,9,6,65,1.0,0.696,cells,1966/06/IMG_0136_1L.jpg
1966_06,7,8,15,67,0.688,0.562,cells,1966/06/IMG_0137_1L.jpg
1966_06,8,14,9,67,0.947,0.764,cells,1966/06/IMG_0137_1L.jpg
1966_06,9,16,5,68,0.984,0.812,cells,1966/06/IMG_0137_2R.jpg
1966_06,10,4,4,81,1.0,0.751,cells,1966/06/IMG_0144_1L.jpg
1966_06,11,8,10,83,1.0,0.751,cells,1966/06/IMG_0145_1L.jpg
1966_06,12,3,3,85,1.0,0.652,cells,1966/06/IMG_0146_1L.jpg
1966_06,13,2,2,86,0.939,0.667,cells,1966/06/IMG_0146_2R.jpg
1966_06,14,2,4,90,0.887,0.597,cells,1966/06/IMG_0148_2R.jpg
1967_01,0,5,3,18,0.909,0.705,context,1967/01/IMG_0012_2R.jpg
1967_01,1,2,6,28,1.0,0.723,cells,1967/01/IMG_0017_2R.jpg
1967_01,2,9,8,32,1.0,0.668,cells,1967/01/IMG_0019_2R.jpg
1967_01,3,2,3,38,1.0,0.591,cells,1967/01/IMG_0022_2R.jpg
1967_01,4,4,4,38,0.955,0.591,cells,1967/01/IMG_0022_2R.jpg
1967_01,5,5,6,47,0.951,0.855,cells,1967/01/IMG_0027_1L.jpg
1967_01,6,8,3,61,0.947,0.474,cells,1967/01/IMG_0034_1L.jpg
1967_01,7,2,5,81,0.938,0.688,context,1967/01/IMG_0044_1L.jpg
1967_01,8,1,11,82,0.897,0.677,context,1967/01/IMG_0044_2R.jpg
1967_02,0,3,3,55,1.0,0.81,cells,1967/02/IMG_0081_1L.jpg
1967_02,1,10,5,55,0.905,0.762,cells,1967/02/IMG_0081_1L.jpg
1967_02,2,4,5,56,1.0,0.125,cells,1967/02/IMG_0081_2R.jpg
1967_03,0,28,8,7,0.963,0.579,cells,1967/03/IMG_0108_1L.jpg
1967_03,1,12,7,8,1.0,0.318,cells,1967/03/IMG_0108_2R.jpg
1967_03,2,3,7,9,0.967,0.475,cells,1967/03/IMG_0109_1L.jpg
1967_03,3,11,9,11,1.0,0.449,cells,1967/03/IMG_0110_1L.jpg
1967_03,4,3,12,12,0.857,0.714,cells,1967/03/IMG_0110_2R.jpg
1967_03,5,5,13,13,0.96,0.68,cells,1967/03/IMG_0111_1L.jpg
1967_03,6,6,10,70,1.0,0.739,cells,1967/03/IMG_0139_2R.jpg
1967_03,7,6,10,70,1.0,0.737,cells,1967/03/IMG_0139_2R.jpg
1967_03,8,9,6,71,1.0,0.381,cells,1967/03/IMG_0140_1L.jpg
1967_03,9,9,6,72,0.941,0.0,cells,1967/03/IMG_0140_2R.jpg
1967_03,10,8,4,74,0.931,0.725,cells,1967/03/IMG_0141_2R.jpg
1967_03,11,5,3,77,0.93,0.67,context,1967/03/IMG_0143_1L.jpg
1967_04,0,8,9,20,1.0,0.619,cells,1967/04/IMG_0013_2R.jpg
1967_04,1,2,2,24,0.765,0.176,cells,1967/04/IMG_0015_2R.jpg
1967_04,2,7,2,25,0.889,0.222,cells,1967/04/IMG_0016_1L.jpg
1967_04,3,3,4,65,1.0,0.6,cells,1967/04/IMG_0036_1L.jpg
1967_05,0,10,3,18,0.829,0.543,cells,1967/05/IMG_0062_1L.jpg
1967_05,1,4,4,57,1.0,0.714,cells,1967/05/IMG_0081_2R.jpg
1967_05,2,4,2,58,1.0,0.501,cells,1967/05/IMG_0082_1L.jpg
1967_05,3,11,7,70,0.96,0.76,cells,1967/05/IMG_0088_1L.jpg
1967_05,4,7,2,71,1.0,0.668,context,1967/05/IMG_0088_2R.jpg
1967_05,5,2,3,71,1.0,0.563,context,1967/05/IMG_0088_2R.jpg
1967_05,6,5,5,77,0.95,0.5,cells,1967/05/IMG_0091_2R.jpg
1967_05,7,5,2,79,0.941,0.53,cells,1967/05/IMG_0092_2R.jpg
1967_05,8,6,2,80,1.0,0.667,cells,1967/05/IMG_0093_1L.jpg
1967_06,0,16,7,4,0.95,0.675,cells,1967/06/IMG_0105_2R.jpg
1967_06,1,7,6,22,0.923,0.692,cells,1967/06/IMG_0114_2R.jpg
1967_06,2,10,3,32,1.0,0.643,cells,1967/06/IMG_0119_2R.jpg
1967_06,3,6,5,32,1.0,0.812,cells,1967/06/IMG_0119_2R.jpg
1967_06,4,13,8,33,1.0,0.714,cells,1967/06/IMG_0120_1L.jpg
1967_06,5,3,5,34,0.941,0.471,cells,1967/06/IMG_0120_2R.jpg
1967_06,6,4,7,36,0.965,0.6,cells,1967/06/IMG_0121_2R.jpg
1967_06,7,4,4,38,1.0,0.333,cells,1967/06/IMG_0122_2R.jpg
1967_06,8,4,11,49,0.909,0.456,cells,1967/06/IMG_0128_1L.jpg
1967_06,9,6,13,49,1.0,0.858,context,1967/06/IMG_0128_1L.jpg
1967_06,10,4,8,49,0.917,0.584,cells,1967/06/IMG_0128_1L.jpg
1967_06,11,2,8,51,0.643,0.286,cells,1967/06/IMG_0129_1L.jpg
1967_06,12,2,8,69,0.818,0.5,cells,1967/06/IMG_0138_1L.jpg
1967_06,13,4,11,70,0.867,0.467,cells,1967/06/IMG_0138_2R.jpg
1967_06,14,4,9,71,0.955,0.591,cells,1967/06/IMG_0139_1L.jpg
1967_06,15,3,5,71,0.882,0.471,cells,1967/06/IMG_0139_1L.jpg
1967_06,16,5,4,75,0.933,0.534,cells,1967/06/IMG_0141_1L.jpg
1967_06,17,3,5,76,1.0,0.619,cells,1967/06/IMG_0141_2R.jpg
1967_06,18,2,4,77,1.0,0.652,cells,1967/06/IMG_0142_1L.jpg
1967_06,19,8,7,85,1.0,0.858,cells,1967/06/IMG_0146_1L.jpg
