crop_id,row,col,text
1966_01_t01,0,3,1966—1970 гг. в % к 1961—1965 гг.
1966_01_t04,1,1,расчетная лесосека
1966_01_t04,1,2,фактический отпуск леса
1966_01_t04,1,3,расчетная лесосека
1966_01_t04,1,4,фактический отпуск леса
1966_01_t06,0,1,"Длительность цикла (величина опережения), в днях"
1966_01_t06,0,2,"Количество деталей, входящих в изделие"
1966_01_t06,0,3,"Количество изделий, входящих в сутко-комплект"
1966_01_t06,0,4,Итого деталей на сутко-комплект
1966_01_t06,0,5,Норма расхода на деталь
1966_01_t06,0,6,Потребность на задел (опережение)
1966_01_t08,1,1,было укомплектовано до очередного поступления
1966_01_t08,1,2,поступило сутко-комплектов
1966_01_t08,1,3,расход в сутко-комплектах
1966_01_t08,1,4,укомплектованность
1967_06_t13,1,1,Потребность по окончательному варианту плана с учетом переходящего запаса
1967_06_t13,1,4,отклонения между занарядкой и потребностью по окончательному варианту плана
1967_06_t13,2,5,"отклонения между потребностью по расчетам, на основании которых произведена занарядка, и потребностью по окончательному варианту плана"
1967_06_t13,2,6,отклонения между ожидаемым и фактическим остатком
1967_06_t13,2,7,отклонения между установленным заводу и расчетным нормативом запаса
1967_06_t13,2,8,"занарядки сверх потребности (+), недозанарядки (—)"
1967_06_t13,2,9,наличия в остатках излишних и ненужных материалов
1967_06_t13,2,10,отклонения между завозом и занарядкой
1972_06_t06,0,0,№№ п/п
1972_06_t06,0,2,Единица измерения
1972_06_t06,0,5,Усредненная цена для группы материалов
1972_06_t06,0,6,Сумма отпущенного лимита
1972_06_t06,0,7,Шифр затрат
1972_06_t06,0,10,Остаток невыбранных материалов по лимиту
1972_06_t06,0,11,Сумма фактических затрат
1972_06_t06,0,14,Примечание
1972_06_t06,1,3,затребовано
1972_06_t06,1,4,выделено
1972_06_t06,1,8,"дата, количество"
1972_06_t06,1,9,всего за планируемый период
1972_06_t06,1,12,экономия
1972_06_t06,1,13,перерасход
