crop_id,row,col,rotated,box,note
1966_01_t00,0,0,0,0 43 676 217,
1966_01_t00,0,1,0,675 49 954 104,
1966_01_t00,1,1,0,676 103 794 221,
1966_01_t00,1,2,0,794 104 954 222,
1966_01_t00,2,0,0,0 217 679 834,
1966_01_t00,2,1,0,679 221 799 836,
1966_01_t00,2,2,0,799 222 954 836,
1966_01_t00,3,0,0,0 834 684 984,
1966_01_t00,3,1,0,684 836 803 984,
1966_01_t00,3,2,0,803 836 954 984,
1966_01_t01,0,0,0,0 39 501 272,
1966_01_t01,0,1,0,500 40 741 150,
1966_01_t01,0,3,1,742 40 958 272,
1966_01_t01,1,1,0,501 150 622 272,
1966_01_t01,1,2,0,622 150 742 272,
1966_01_t01,2,0,0,0 272 509 1154,
1966_01_t01,2,1,0,509 272 630 1154,
1966_01_t01,2,2,0,630 272 751 1154,
1966_01_t01,2,3,0,751 272 958 1154,
1966_01_t02,0,0,0,0 39 434 165,
1966_01_t02,0,1,0,434 38 551 165,
1966_01_t02,0,2,0,551 38 668 166,
1966_01_t02,0,3,0,668 38 841 166,
1966_01_t02,0,4,0,841 38 1046 165,
1966_01_t02,1,0,0,0 165 433 844,
1966_01_t02,1,1,0,433 165 550 844,
1966_01_t02,1,2,0,550 166 667 844,
1966_01_t02,1,3,0,667 166 839 844,
1966_01_t02,1,4,0,839 165 1046 844,
1966_01_t04,0,0,0,0 39 433 156,
1966_01_t04,0,1,0,433 40 669 156,
1966_01_t04,0,3,0,669 41 938 157,
1966_01_t04,1,0,0,0 156 434 338,
1966_01_t04,1,1,1,434 155 553 340,
1966_01_t04,1,2,1,553 156 671 340,
1966_01_t04,1,3,1,671 157 789 341,
1966_01_t04,1,4,1,789 157 938 341,
1966_01_t04,2,0,0,0 338 435 786,
1966_01_t04,2,1,0,435 340 552 786,
1966_01_t04,2,2,0,552 340 671 786,
1966_01_t04,2,3,0,671 341 790 786,
1966_01_t04,2,4,0,790 341 938 786,
1966_01_t06,0,0,0,0 41 888 331,
1966_01_t06,0,1,1,888 40 1009 330,
1966_01_t06,0,2,1,1009 39 1134 330,
1966_01_t06,0,3,1,1134 39 1258 331,
1966_01_t06,0,4,1,1258 39 1383 331,
1966_01_t06,0,5,1,1383 40 1509 331,
1966_01_t06,0,6,1,1509 40 1668 331,
1966_01_t06,1,0,0,0 331 887 622,
1966_01_t06,1,1,0,887 330 1009 620,
1966_01_t06,1,2,0,1009 330 1131 621,
1966_01_t06,1,3,0,1131 331 1257 623,
1966_01_t06,1,4,0,1257 331 1381 623,
1966_01_t06,1,5,0,1381 331 1506 623,
1966_01_t06,1,6,0,1506 331 1668 622,
1966_01_t06,2,0,0,0 622 889 724,
1966_01_t06,2,1,0,889 622 1668 724,
1966_01_t08,0,0,0,0 39 232 154,
1966_01_t08,0,1,0,232 38 601 154,
1966_01_t08,0,3,0,601 39 880 154,
1966_01_t08,1,0,0,0 154 232 337,
1966_01_t08,1,1,1,232 154 415 336,
1966_01_t08,1,2,1,415 154 600 337,
1966_01_t08,1,3,1,600 153 726 337,
1966_01_t08,1,4,1,726 154 880 337,
1966_01_t08,2,0,0,0 337 232 546,
1966_01_t08,2,1,0,232 336 415 546,
1966_01_t08,2,2,0,415 337 599 546,
1966_01_t08,2,3,0,599 337 724 546,
1966_01_t08,2,4,0,724 337 880 546,
1967_06_t13,0,0,0,40 38 306 91,
1967_06_t13,0,1,0,306 38 418 91,
1967_06_t13,0,2,0,418 38 529 91,
1967_06_t13,0,3,0,529 39 641 91,
1967_06_t13,0,4,0,641 40 1486 90,
1967_06_t13,1,0,0,39 91 307 575,
1967_06_t13,1,1,1,307 91 418 574,
1967_06_t13,1,2,0,418 91 529 574,
1967_06_t13,1,3,0,529 91 639 573,
1967_06_t13,1,4,1,639 90 751 573,
1967_06_t13,1,5,0,751 90 1485 142,
1967_06_t13,2,5,1,751 143 918 573,
1967_06_t13,2,6,1,918 142 1029 573,
1967_06_t13,2,7,1,1029 142 1142 572,
1967_06_t13,2,8,1,1142 142 1256 572,
1967_06_t13,2,9,1,1256 142 1370 571,
1967_06_t13,2,10,1,1370 141 1484 570,
1967_06_t13,3,0,0,38 575 305 687,
1967_06_t13,3,1,0,305 574 416 688,
1967_06_t13,3,2,0,416 574 526 687,
1967_06_t13,3,3,0,526 573 637 686,
1967_06_t13,3,4,0,637 573 749 687,
1967_06_t13,3,5,0,749 573 914 688,
1967_06_t13,3,6,0,914 573 1027 688,
1967_06_t13,3,7,0,1027 572 1143 687,
1967_06_t13,3,8,0,1143 572 1257 686,
1967_06_t13,3,9,0,1257 571 1372 686,
1967_06_t13,3,10,0,1372 570 1486 685,
1972_06_t06,0,0,1,42 37 104 535,поправлено глазами
1972_06_t06,0,1,0,104 36 326 534,
1972_06_t06,0,2,1,326 37 389 534,
1972_06_t06,0,3,0,388 37 618 145,
1972_06_t06,0,5,1,618 36 732 534,
1972_06_t06,0,6,1,732 36 794 535,
1972_06_t06,0,7,1,794 36 856 535,
1972_06_t06,0,8,0,856 36 1087 146,
1972_06_t06,0,10,1,1086 36 1157 535,
1972_06_t06,0,11,1,1157 37 1220 535,
1972_06_t06,0,12,0,1220 37 1454 145,
1972_06_t06,0,14,1,1453 36 1516 535,
1972_06_t06,1,3,1,389 145 503 534,
1972_06_t06,1,4,1,503 146 618 535,
1972_06_t06,1,8,1,856 146 971 537,
1972_06_t06,1,9,1,971 146 1086 537,
1972_06_t06,1,12,1,1220 146 1336 536,
1972_06_t06,1,13,1,1336 145 1453 534,
1972_06_t06,2,0,0,42 535 104 590,
1972_06_t06,2,1,0,104 534 326 589,
1972_06_t06,2,2,0,326 534 390 588,
1972_06_t06,2,3,0,390 534 504 589,
1972_06_t06,2,4,0,504 535 619 590,
1972_06_t06,2,5,0,619 534 733 590,
1972_06_t06,2,6,0,733 535 794 591,
1972_06_t06,2,7,0,794 535 857 592,
1972_06_t06,2,8,0,857 537 970 592,
1972_06_t06,2,9,0,970 537 1085 591,
1972_06_t06,2,10,0,1085 535 1157 590,
1972_06_t06,2,11,0,1157 535 1219 590,
1972_06_t06,2,12,0,1219 536 1334 590,
1972_06_t06,2,13,0,1334 534 1452 590,
1972_06_t06,2,14,0,1452 535 1516 590,
