word;label;src;page;ctx
фирмы-изготовителя;составное;1991_v16;IMG_0624_L; (по возможности) указать название фирмы-изготовителя, страну ее нахождения и номер моде
импорт-экспорт;составное;1991_v16;IMG_0624_L;6 4HY, ENGLAND. (Англия, „Кембридж импорт-экспорт Ко лимитед“ (Отдел МС), 122-126 Ки
книжно-журнальная;составное;1991_v16;IMG_0625_L;1.01.91. Формат 60×88 1/16. Бумага книжно-журнальная. Офсет. Усл. печ. л. 6,86/7,35 усл
Материально-техническое;составное;1991_v16;IMG_0625_L;, 25  © Издательство «Экономика», «Материально-техническое снабжение», 1991 
материально-технического;составное;1991_v16;IMG_0626_L;*ПРОБЛЕМЫ И СУЖДЕНИЯ*  Системе материально-технического обеспечения, как и всему народному
кого-то;составное;1991_v16;IMG_0626_R;собственнику нужно у кого-то получать работу, гарантировать ему
как-то;составное;1991_v16;IMG_0626_R;том попытки большинства работников как-то приобщиться к делёжу дохода коопер
по-новому;составное;1991_v16;IMG_0627_L;ых форм собственности вместе с тем по-новому освещает проблему наемного труда п
купля-продажа;составное;1991_v16;IMG_0627_L;ным продуктом. По марксовой теории купля-продажа рабочей силы при капитализме прояв
По-иному;составное;1991_v16;IMG_0627_R;ние проблемы со стороны работника. По-иному, но тоже справедливо она выглядит 
из-за;составное;1991_v16;IMG_0627_R;у него работать. Однако трудящиеся из-за отсутствия у них средств производс
купли-продажи;составное;1991_v16;IMG_0627_R;нными бумагами на фондовой бирже и купли-продажи недвижимости. Эти формы дохода осо
где-то;составное;1991_v16;IMG_0627_R;редства производства можно было бы где-то за восемь лет, но это нереально, а
какой-нибудь;составное;1991_v16;IMG_0648_L;тия возникла срочная потребность в какой-нибудь технике, оно может обратиться в те
оптово-посреднических;составное;1991_v16;IMG_0648_L;управлений, генеральных директоров оптово-посреднических фирм, специалистов центрального ап
когда-нибудь;составное;1991_v16;IMG_0648_R;требителю лизинговых услуг вряд ли когда-нибудь будет передано право собственности
материально-финансовую;составное;1991_v16;IMG_0668_L;структурными сдвигами, нарушающими материально-финансовую сбалансированность. А без нее не м
товарно-денежного;составное;1991_v16;IMG_0668_L;ое развитие экономики, становление товарно-денежного рынка. Поэтому важно определить ры
материально-финансовая;составное;1991_v16;IMG_0668_L;обладает административная система, материально-финансовая сбалансированность которой понимае
товарно-денежной;составное;1991_v16;IMG_0668_R;ло одним из главных факторов роста товарно-денежной несбалансированности, когда значит
налично-денежного;составное;1991_v16;IMG_0668_R; пропорциональности безналичного и налично-денежного оборота все в большей степени испо
материально-финансовой;составное;1991_v16;IMG_0668_R;этому задача обеспечения подлинной материально-финансовой сбалансированности может быть реше
производственно-хозяйственной;составное;1991_v16;IMG_0669_L;ика немыслима без новых подходов к производственно-хозяйственной деятельности предприятий.  В больш
выставках-продажах;составное;1991_v16;IMG_0669_R;нению. А также благодаря участию в выставках-продажах, которые периодически проводятся в
предприятиями-поставщиками;составное;1991_v16;IMG_0669_R;ые материалы, заключают договоры с предприятиями-поставщиками и Одессаглавснабом от имени объеди
картонно-бумажной;составное;1991_v16;IMG_0670_L;альных ресурсов, организованный на картонно-бумажной фабрике «Олимпия». Он представляет
цельно-металлических;составное;1991_v16;IMG_0670_L;н представляет собой два спаренных цельно-металлических модуля общей площадью около 2 тыся
транспортно-заготовительных;спорно;1991_v16;IMG_0670_L;мерное обеспечение при минимальных транспортно-заготовительных расходах.  Появилась заинтересован
информационно-коммерческих;составное;1991_v16;IMG_0670_R;е продукции к потреблению, а также информационно-коммерческих и других видов посреднических услу
Снабженческо-сбытовым;составное;1991_v16;IMG_0671_R; СССР, управснабах облисполкомов.  Снабженческо-сбытовым организациям и предприятиям понадо
финансово-кредитных;составное;1991_v16;IMG_0671_R;внутренних ресурсов, в том числе и финансово-кредитных. При создании свободного региональ
торгово-экономических;составное;1991_v16;IMG_0672_L; масштабы, структура и формы наших торгово-экономических и научно-технических связей с зару
научно-технических;составное;1991_v16;IMG_0672_L;ормы наших торгово-экономических и научно-технических связей с зарубежными партнерами не
технико-экономические;составное;1991_v16;IMG_0672_R;сать «протокол о намерениях», дать технико-экономические обоснования целесообразности испол
производственно-технического;составное;1991_v16;IMG_0672_R;Т ТЕХНИКИ  Улучшение использования производственно-технического потенциала агропромышленного компл
материально-техническими;составное;1991_v16;IMG_0672_R; комплекса, повышение оснащенности материально-техническими ресурсами — одна из наиболее остры
материально-технических;составное;1991_v16;IMG_0672_R;роблема эффективного использования материально-технических ресурсов остра еще и потому, что т
материально-технические;составное;1991_v16;IMG_0673_L;женцы стали реализовывать излишние материально-технические ценности через комиссионно-розничн
комиссионно-розничные;составное;1991_v16;IMG_0673_L;риально-технические ценности через комиссионно-розничные магазины, организовывать техническ
строительно-дорожная;составное;1991_v16;IMG_0673_L;я различная: сельскохозяйственная, строительно-дорожная, измерительная (точные приборы, ме
планово-убыточным;составное;1991_v16;IMG_0673_R;кционной почты*  Предприятие стало планово-убыточным. Руководители предприятия стали ис
во-первых;составное;1991_v16;IMG_0673_R;ности пунктов проката объясняется: во-первых, незначительными расходами на ремо
во-вторых;составное;1991_v16;IMG_0673_R;измов, находящихся в эксплуатации, во-вторых, небольшими фондами оплаты труда р
командно-административные;составное;1991_v16;IMG_0674_L; всех нас это тяжелое время, когда командно-административные механизмы официально признаны утра
Социально-экономическая;составное;1991_v16;IMG_0674_L;ебои с товарами и продовольствием. Социально-экономическая нестабильность неизбежно повлекла 
торгово-закупочные;составное;1991_v16;IMG_0674_L; поправкам. Вспомним хотя бы те же торгово-закупочные кооперативы. Когда-то их обвиняли 
Когда-то;составное;1991_v16;IMG_0674_L;же торгово-закупочные кооперативы. Когда-то их обвиняли во всех смертных греха
кто-то;составное;1991_v16;IMG_0674_R;ю продукцию. Нужна специализация — кто-то растит цветы, кто-то их транспорти
грузовики-рефрижераторы;составное;1991_v16;IMG_0674_R;очку: заключает договора, арендует грузовики-рефрижераторы, находит складские помещения. Все 
купцы-негоцианты;составное;1991_v16;IMG_0674_R;иском. То, чем издревле занимались купцы-негоцианты, перевозившие по караванным путям 
волей-неволей;составное;1991_v16;IMG_0674_R;истых кассет в продаже нет, значит волей-неволей купишь. Имеют они на этом огромные
