pdf,page,label,note
full_1966_01,95,bad,вертикальные рамки наклонились
full_1966_01,78,bad,шкаф: полки погнуты
full_1967_01,38,bad,вертикали таблиц наклонились
full_1967_01,80,bad,блок-схема погнута
full_1967_01,85,bad,дробные черты формул наклонены
full_1967_02,57,bad,левая кромка верхнего блока наклонилась
full_1967_03,11,bad,заголовок в разрядку заплясал
full_1967_03,36,bad,крупный заголовок: верх букв уходит вверх (0.25 мм — ниже шума детектора)
full_1967_02,2,good,правый край текста стал ровнее
full_1967_02,29,good,кончики строк выпрямились
full_1967_02,55,good,строки и таблицы выпрямились
full_1967_01,17,good,FineReader страницу не менял
