# Эталон детектора кривых строк: полосы, названные пользователем (сентябрь 2026).
# curved — FineReader с коррекцией геометрии их улучшает; straight — геометрия нормальная.
rel_path,label,note
1966/06/IMG_0144_1L,curved,волнистый край левой колонки у корешка
1966/05/0440_2R,curved,прогиб внизу слева
1966/05/0350_2R,curved,
1966/02/IMG_0086_1L,curved,в лёгкой форме — левая нижняя часть
1966/01/IMG_0049_1L,curved,волны по всей полосе
1966/01/IMG_0048_2R,curved,
1966/01/IMG_0051_2R,curved,верхний блок повёрнут
1972/03/IMG_0151_1L,curved,
1970/01/IMG_0049_2R,straight,
1970/01/IMG_0043_1L,straight,чертёж и текст
1970/01/IMG_0048_2R,straight,
1970/01/IMG_0010_1L,straight,
1970/03/IMG_0104_2R,straight,
1966/03/IMG_0140_2R,straight,две колонки разной высоты — геометрия нормальная
